STCD,avg_nom_dim1
PA-1,-0.484
PA-10,0.352
PA-11,0.278
PA-12,-0.326
PA-13,-0.343
PA-14,-0.33
PA-15,0.244
PA-16,0.538
PA-17,-0.233
PA-18,0.258
PA-19,0.252
PA-2,-0.472
PA-3,0.35
PA-4,-0.133
PA-5,0.312
PA-6,0.221
PA-7,0.22
PA-8,0.202
PA-9,0.374
RI-1,-0.391
RI-2,-0.375
SC-1,0.638
SC-2,0.538
SC-3,0.731
SC-4,0.655
SC-5,0.75
SC-6,-0.464
SD-1,0.398
TN-1,0.486
TN-2,0.604
TN-3,0.455
TN-4,0.581
TN-5,-0.163
TN-6,0.58
TN-7,0.618
TN-8,0.526
TN-9,-0.4
TX-1,0.625
TX-10,0.433
TX-11,0.591
TX-12,0.397
TX-13,0.525
TX-14,0.863
TX-15,-0.34
TX-16,-0.321
TX-17,0.573
TX-18,-0.46
TX-19,0.628
TX-2,0.594
TX-20,-0.347
TX-21,0.425
TX-22,0.549
TX-23,0.571
TX-24,0.6
TX-25,-0.402
TX-26,0.576
TX-27,0.548
TX-28,-0.228
TX-29,-0.324
TX-3,0.61
TX-30,-0.485
TX-31,0.471
TX-32,0.585
TX-4,0.424
TX-5,0.703
TX-6,0.528
TX-7,0.503
TX-8,0.524
TX-9,-0.438
UT-1,0.536
UT-2,-0.115
UT-3,0.647
VA-1,0.445
VA-10,0.284
VA-11,-0.306
VA-2,0.405
VA-3,-0.45
VA-4,0.407
VA-5,0.568
VA-6,0.496
VA-7,0.518
VA-8,-0.302
VA-9,0.552
VT-1,-0.409
WA-1,-0.3055
WA-2,-0.364
WA-3,0.357
WA-4,0.416
WA-5,0.426
WA-6,-0.312
WA-7,-0.666
WA-8,0.224
WA-9,-0.284
WI-1,0.556
WI-2,-0.493
WI-3,-0.262
WI-4,-0.528
WI-5,0.638
WI-6,0.379
WI-7,0.511
WI-8,0.603
WV-1,0.301
WV-2,0.263
WV-3,-0.306
WY-1,0.675
