congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
116,House,20301,41,3,AL,200,,,"ROGERS, Mike Dennis",R000575,1958,,0.355,0.459,-167.9435,0.79622,737,70,,0.52,0.365
116,House,21102,41,7,AL,100,,,"SEWELL, Terri",S001185,1965,,-0.391,0.402,-28.34878,0.96324,757,11,,-0.431,0.386
116,House,21192,41,2,AL,200,,,"ROBY, Martha",R000591,1976,,0.362,0.657,-88.17303,0.88053,693,30,,0.342,0.682
116,House,21193,41,5,AL,200,,,"BROOKS, Mo",B001274,1954,,0.649,-0.449,-131.90371,0.84313,773,49,,0.778,-0.381
116,House,21376,41,1,AL,200,,,"BYRNE, Bradley",B001289,1955,,0.612,0.245,-101.91034,0.85851,668,40,,0.709,0.174
116,House,21500,41,6,AL,200,,,"PALMER, Gary James",P000609,1954,,0.711,-0.041,-98.64822,0.87872,763,41,,0.668,0.07
116,House,29701,41,4,AL,200,,,"ADERHOLT, Robert",A000055,1965,,0.369,0.59,-119.29186,0.8513,741,43,,0.452,0.477
116,House,14066,81,1,AK,200,,,"YOUNG, Donald Edwin",Y000033,1933,,0.284,0.022,-216.09795,0.74851,746,81,,0.334,0.092
116,House,20305,61,3,AZ,100,,,"GRIJALVA, Raúl M.",G000551,1948,,-0.599,-0.256,-21.38613,0.97144,738,8,,-0.581,-0.585
116,House,20902,61,2,AZ,100,,,"KIRKPATRICK, Ann",K000368,1950,,-0.164,-0.007,-46.17159,0.93454,682,19,,-0.368,0.401
116,House,21103,61,4,AZ,200,,,"GOSAR, Paul",G000565,1958,,0.677,-0.42,-116.39433,0.85168,725,44,,0.919,-0.395
116,House,21105,61,6,AZ,200,,,"SCHWEIKERT, David",S001183,1962,,0.589,-0.32,-195.20856,0.77784,777,91,,0.518,-0.294
116,House,21502,61,7,AZ,100,,,"GALLEGO, Ruben",G000574,1979,,-0.449,-0.013,-20.98773,0.97301,767,11,,-0.43,0.038
116,House,21705,61,5,AZ,200,,,"BIGGS, Andrew S.",B001302,1958,,0.882,-0.471,-93.62697,0.8848,765,30,,1.0,-0.03
116,House,21739,61,1,AZ,100,,,"O'HALLERAN, Thomas C.",O000171,1946,,-0.187,0.146,-43.92489,0.94434,767,15,,-0.33,0.401
116,House,21757,61,8,AZ,200,,,"LESKO, Debbie",L000589,1958,,0.606,-0.034,-101.76203,0.87575,767,48,,0.594,-0.001
116,House,21968,61,9,AZ,100,,,"STANTON, Greg",S001211,1970,,-0.31,-0.053,-19.93125,0.97467,777,8,,-0.309,-0.056
116,House,21106,42,1,AR,200,,,"CRAWFORD, Rick",C001087,1966,,0.414,0.493,-84.1186,0.88901,715,36,,0.511,0.53
116,House,21108,42,3,AR,200,,,"WOMACK, Steve",W000809,1957,,0.357,0.585,-66.41335,0.91828,779,23,,0.381,0.618
116,House,21503,42,2,AR,200,,,"HILL, French",H001072,1956,,0.454,0.226,-89.93792,0.89016,773,33,,0.423,0.331
116,House,21563,42,4,AR,200,,,"WESTERMAN, Bruce Eugene",W000821,1967,,0.551,0.352,-71.45002,0.91083,765,29,,0.551,0.459
116,House,15448,71,12,CA,100,,,"PELOSI, Nancy",P000197,1940,,-0.49,-0.206,-0.60393,0.99046,63,0,,-0.427,0.184
116,House,20104,71,28,CA,100,,,"SCHIFF, Adam",S001150,1960,,-0.349,-0.129,-14.56568,0.98143,777,4,,-0.426,-0.013
116,House,20108,71,53,CA,100,,,"DAVIS, Susan A.",D000598,1944,,-0.343,-0.103,-15.41957,0.98017,770,4,,-0.338,-0.015
116,House,20307,71,22,CA,200,,,"NUNES, Devin",N000181,1973,,0.449,0.215,-77.28391,0.90474,772,29,,0.46,0.417
116,House,20310,71,38,CA,100,,,"SÁNCHEZ, Linda T.",S001156,1969,,-0.508,-0.137,-12.68866,0.98333,755,5,,-0.525,-0.045
116,House,20501,71,16,CA,100,,,"COSTA, Jim",C001059,1952,,-0.191,0.464,-97.02288,0.88161,770,35,,-0.37,0.757
116,House,20538,71,6,CA,100,,,"MATSUI, Doris",M001163,1944,,-0.434,-0.162,-27.98259,0.9644,772,9,,-0.419,0.077
116,House,20702,71,9,CA,100,,,"McNERNEY, Jerry",M001166,1951,,-0.262,-0.153,-19.82593,0.97408,755,8,,-0.426,-0.183
116,House,20703,71,23,CA,200,,,"MCCARTHY, Kevin",M001165,1965,,0.458,0.212,-92.92698,0.88561,765,41,,0.428,0.367
116,House,20762,71,14,CA,100,,,"SPEIER, Karen Lorraine Jacqueline (Jackie)",S001175,1950,,-0.38,-0.444,-40.81265,0.94648,742,9,,-0.309,-0.255
