"","congress","chamber","icpsr","state_icpsr","district_code","state_abbrev","party_code","occupancy","last_means","bioname","bioguide_id","born","died","nominate_dim1","nominate_dim2","nominate_log_likelihood","nominate_geo_mean_probability","nominate_number_of_votes","nominate_number_of_errors","conditional","nokken_poole_dim1","nokken_poole_dim2","STUSPS"
"49262",116,"Senate",41705,41,0,"AL",100,NA,NA,"JONES, Gordon Douglas (Doug)","J000300",1954,NA,-0.084,0.202,-65.19732,0.88916,555,26,NA,-0.073,0.263,"AL"
"49263",116,"Senate",94659,41,0,"AL",200,NA,NA,"SHELBY, Richard C.","S000320",1934,NA,0.429,0.519,-42.8258,0.92725,567,22,NA,0.44,0.21,"AL"
"49264",116,"Senate",40300,81,0,"AK",200,NA,NA,"MURKOWSKI, Lisa","M001153",1957,NA,0.211,-0.291,-41.92432,0.92408,531,10,NA,0.292,-0.454,"AK"
"49265",116,"Senate",41500,81,0,"AK",200,NA,NA,"SULLIVAN, Daniel Scott","S001198",1964,NA,0.486,0.049,-49.72757,0.91459,557,22,NA,0.515,-0.042,"AK"
"49266",116,"Senate",21300,61,0,"AZ",100,NA,NA,"SINEMA, Kyrsten","S001191",1976,NA,-0.102,0.06,-70.7588,0.87676,538,18,NA,-0.068,0.199,"AZ"
"49267",116,"Senate",21501,61,0,"AZ",200,NA,NA,"McSALLY, Martha","M001197",1966,NA,0.344,0.03,-33.92429,0.94152,563,12,NA,0.337,0.235,"AZ"
"49268",116,"Senate",20101,42,0,"AR",200,NA,NA,"BOOZMAN, John","B001236",1950,NA,0.4,0.246,-26.41166,0.95488,572,10,NA,0.344,0.241,"AR"
"49269",116,"Senate",21301,42,0,"AR",200,NA,NA,"COTTON, Tom","C001095",1977,NA,0.572,0.083,-57.93965,0.90302,568,25,NA,0.439,0.027,"AR"
"49270",116,"Senate",41701,71,0,"CA",100,NA,NA,"HARRIS, Kamala Devi","H001075",1964,NA,-0.709,-0.13,-26.95593,0.91434,301,11,NA,-0.725,-0.236,"CA"
"49271",116,"Senate",49300,71,0,"CA",100,NA,NA,"FEINSTEIN, Dianne","F000062",1933,NA,-0.267,-0.185,-70.48546,0.88406,572,21,NA,-0.26,-0.061,"CA"
"49272",116,"Senate",21112,62,0,"CO",200,NA,NA,"GARDNER, Cory","G000562",1974,NA,0.444,-0.027,-46.20241,0.92108,562,20,NA,0.347,-0.009,"CO"
