"","congress","chamber","icpsr","state_icpsr","district_code","state_abbrev","party_code","occupancy","last_means","bioname","bioguide_id","born","died","nominate_dim1","nominate_dim2","nominate_log_likelihood","nominate_geo_mean_probability","nominate_number_of_votes","nominate_number_of_errors","conditional","nokken_poole_dim1","nokken_poole_dim2","CD116FP","STCD"
"47173",113,"House",20300,41,1,"AL",200,1,1,"BONNER, Jr., Josiah Robins (Jo)","B001244",1959,NA,0.367,0.513,-41.88718,0.888,354,17,NA,0.331,0.625,1,"AL-1"
"47174",113,"House",20301,41,3,"AL",200,0,1,"ROGERS, Mike Dennis","R000575",1958,NA,0.355,0.459,-135.47694,0.87354,1002,57,NA,0.451,0.659,3,"AL-3"
"47175",113,"House",21102,41,7,"AL",100,0,1,"SEWELL, Terri","S001185",1965,NA,-0.391,0.402,-160.51788,0.85225,1004,78,NA,-0.406,0.478,7,"AL-7"
"47176",113,"House",21192,41,2,"AL",200,0,1,"ROBY, Martha","R000591",1976,NA,0.362,0.657,-87.35912,0.91761,1016,33,NA,0.316,0.734,2,"AL-2"
"47177",113,"House",21193,41,5,"AL",200,0,1,"BROOKS, Mo","B001274",1954,NA,0.649,-0.449,-207.87621,0.81415,1011,77,NA,0.576,-0.225,5,"AL-5"
"47178",113,"House",21376,41,1,"AL",200,2,2,"BYRNE, Bradley","B001289",1955,NA,0.612,0.245,-38.87055,0.91846,457,14,NA,0.571,0.368,1,"AL-1"
"47179",113,"House",29301,41,6,"AL",200,0,1,"BACHUS, Spencer T., III","B000013",1947,NA,0.387,0.228,-134.43974,0.874,996,66,NA,0.332,0.318,6,"AL-6"
"47180",113,"House",29701,41,4,"AL",200,0,1,"ADERHOLT, Robert","A000055",1965,NA,0.369,0.59,-88.92996,0.90964,939,38,NA,0.356,0.773,4,"AL-4"
"47181",113,"House",14066,81,1,"AK",200,0,1,"YOUNG, Donald Edwin","Y000033",1933,NA,0.284,0.022,-222.32154,0.79095,948,87,NA,0.265,0.116,1,"AK-1"
"47182",113,"House",20304,61,8,"AZ",200,0,1,"FRANKS, Trent","F000448",1957,NA,0.749,0.087,-103.99518,0.89863,973,39,NA,0.707,0.253,8,"AZ-8"
"47183",113,"House",20305,61,3,"AZ",100,0,1,"GRIJALVA, Raúl M.","G000551",1948,NA,-0.599,-0.256,-123.28855,0.87829,950,45,NA,-0.511,-0.378,3,"AZ-3"
"47184",113,"House",20902,61,1,"AZ",100,0,1,"KIRKPATRICK, Ann","K000368",1950,NA,-0.164,-0.007,-272.76315,0.74744,937,135,NA,-0.249,0.167,1,"AZ-1"
"47185",113,"House",21103,61,4,"AZ",200,0,1,"GOSAR, Paul","G000565",1958,NA,0.677,-0.42,-170.91639,0.82311,878,77,NA,0.63,-0.352,4,"AZ-4"
"47186",113,"House",21105,61,6,"AZ",200,0,1,"SCHWEIKERT, David","S001183",1962,NA,0.589,-0.32,-122.79584,0.88324,989,54,NA,0.657,-0.318,6,"AZ-6"
"47187",113,"House",21199,61,2,"AZ",100,0,1,"BARBER, Ron","B001279",1945,NA,-0.123,0.001,-330.80405,0.716,992,144,NA,-0.097,-0.043,2,"AZ-2"
"47188",113,"House",21300,61,9,"AZ",100,0,1,"SINEMA, Kyrsten","S001191",1976,NA,-0.102,0.06,-310.23537,0.73098,990,110,NA,-0.12,-0.093,9,"AZ-9"
"47189",113,"House",29101,61,7,"AZ",100,0,1,"PASTOR, Ed","P000099",1943,NA,-0.421,0.12,-153.07236,0.846,915,72,NA,-0.405,0.092,7,"AZ-7"
