"","congress","chamber","icpsr","state_icpsr","district_code","state_abbrev","party_code","occupancy","last_means","bioname","bioguide_id","born","died","nominate_dim1","nominate_dim2","nominate_log_likelihood","nominate_geo_mean_probability","nominate_number_of_votes","nominate_number_of_errors","conditional","nokken_poole_dim1","nokken_poole_dim2","CD116FP","STCD"
"46625",112,"House",20300,41,1,"AL",200,0,1,"BONNER, Jr., Josiah Robins (Jo)","B001244",1959,NA,0.367,0.513,-146.62502,0.9,1390,57,NA,0.31,0.506,1,"AL-1"
"46626",112,"House",20301,41,3,"AL",200,0,1,"ROGERS, Mike Dennis","R000575",1958,NA,0.355,0.459,-157.00249,0.89561,1424,65,NA,0.291,0.659,3,"AL-3"
"46627",112,"House",21102,41,7,"AL",100,0,1,"SEWELL, Terri","S001185",1965,NA,-0.391,0.402,-259.08161,0.8305,1395,93,NA,-0.364,0.329,7,"AL-7"
"46628",112,"House",21192,41,2,"AL",200,0,1,"ROBY, Martha","R000591",1976,NA,0.362,0.657,-149.43503,0.90051,1426,61,NA,0.36,0.59,2,"AL-2"
"46629",112,"House",21193,41,5,"AL",200,0,1,"BROOKS, Mo","B001274",1954,NA,0.649,-0.449,-247.32803,0.84107,1429,102,NA,0.564,-0.142,5,"AL-5"
"46630",112,"House",29301,41,6,"AL",200,0,1,"BACHUS, Spencer T., III","B000013",1947,NA,0.387,0.228,-182.54918,0.876,1382,78,NA,0.339,0.342,6,"AL-6"
"46631",112,"House",29701,41,4,"AL",200,0,1,"ADERHOLT, Robert","A000055",1965,NA,0.369,0.59,-181.74226,0.8801,1423,80,NA,0.327,0.601,4,"AL-4"
"46632",112,"House",14066,81,1,"AK",200,0,1,"YOUNG, Donald Edwin","Y000033",1933,NA,0.284,0.022,-370.39515,0.74771,1274,154,NA,0.338,-0.052,1,"AK-1"
"46633",112,"House",20100,61,6,"AZ",200,0,1,"FLAKE, Jeff","F000444",1962,NA,0.855,-0.518,-192.73056,0.8707,1392,71,NA,0.913,-0.408,6,"AZ-6"
"46634",112,"House",20304,61,2,"AZ",200,0,1,"FRANKS, Trent","F000448",1957,NA,0.749,0.087,-198.19888,0.86938,1416,83,NA,0.689,0.002,2,"AZ-2"
"46635",112,"House",20305,61,7,"AZ",100,0,1,"GRIJALVA, Raúl M.","G000551",1948,NA,-0.599,-0.256,-171.15562,0.88391,1387,69,NA,-0.655,-0.113,7,"AZ-7"
"46636",112,"House",20701,61,8,"AZ",100,1,1,"GIFFORDS, Gabrielle","G000554",1970,NA,-0.11,0.076,NA,NA,NA,NA,NA,-0.542,0.841,8,"AZ-8"
"46637",112,"House",21103,61,1,"AZ",200,0,1,"GOSAR, Paul","G000565",1958,NA,0.677,-0.42,-282.19986,0.81458,1376,111,NA,0.507,-0.069,1,"AZ-1"
"46638",112,"House",21104,61,3,"AZ",200,0,1,"QUAYLE, Ben","Q000024",1976,NA,0.712,0.222,-154.5331,0.893,1371,74,NA,0.705,0.179,3,"AZ-3"
"46639",112,"House",21105,61,5,"AZ",200,0,1,"SCHWEIKERT, David","S001183",1962,NA,0.589,-0.32,-186.8544,0.87695,1423,69,NA,0.644,-0.256,5,"AZ-5"
"46640",112,"House",21199,61,8,"AZ",100,2,2,"BARBER, Ron","B001279",1945,NA,-0.123,0.001,-73.55459,0.727,231,26,NA,-0.3,0.226,8,"AZ-8"
"46641",112,"House",29101,61,4,"AZ",100,0,1,"PASTOR, Ed","P000099",1943,NA,-0.421,0.12,-300.85852,0.808,1412,152,NA,-0.475,0.267,4,"AZ-4"
"46642",112,"House",20102,42,4,"AR",100,0,1,"ROSS, Michael Avery","R000573",1961,NA,-0.201,0.89,-422.32622,0.738,1387,192,NA,-0.114,0.722,4,"AR-4"
"46643",112,"House",21106,42,1,"AR",200,0,1,"CRAWFORD, Rick","C001087",1966,NA,0.414,0.493,-139.55788,0.90671,1425,62,NA,0.322,0.604,1,"AR-1"
"46644",112,"House",21107,42,2,"AR",200,0,1,"GRIFFIN, Tim","G000567",1968,NA,0.41,0.421,-162.76919,0.892,1423,74,NA,0.424,0.292,2,"AR-2"
"46645",112,"House",21108,42,3,"AR",200,0,1,"WOMACK, Steve","W000809",1957,NA,0.357,0.585,-128.65866,0.91419,1434,53,NA,0.308,0.574,3,"AR-3"
"46646",112,"House",14053,71,13,"CA",100,0,1,"STARK, Fortney Hillman (Pete), Jr.","S000810",1931,NA,-0.631,-0.605,-160.84025,0.888,1354,69,NA,-0.587,-0.596,13,"CA-13"
"46647",112,"House",14256,71,7,"CA",100,0,1,"MILLER, George","M000725",1945,NA,-0.552,-0.398,-201.30439,0.864,1377,90,NA,-0.458,-0.425,7,"CA-7"
"46648",112,"House",14280,71,30,"CA",100,0,1,"WAXMAN, Henry Arnold","W000215",1939,NA,-0.473,-0.343,-174.19722,0.883,1401,66,NA,-0.428,-0.216,30,"CA-30"
"46649",112,"House",14644,71,41,"CA",200,0,1,"LEWIS, Charles Jeremy (Jerry)","L000274",1934,NA,0.348,-0.101,-186.97801,0.861,1246,66,NA,0.295,0.271,41,"CA-41"
"46650",112,"House",14647,71,3,"CA",200,0,1,"LUNGREN, Daniel Edward","L000517",1946,NA,0.497,-0.054,-260.3908,0.833,1424,122,NA,0.355,0.267,3,"CA-3"
"46651",112,"House",14813,71,26,"CA",200,0,1,"DREIER, David Timothy","D000492",1952,NA,0.478,-0.084,-248.0076,0.839,1417,112,NA,0.345,0.267,26,"CA-26"
"46652",112,"House",15005,71,28,"CA",100,0,1,"BERMAN, Howard Lawrence","B000410",1941,NA,-0.404,-0.286,-217.35245,0.851,1352,92,NA,-0.368,-0.087,28,"CA-28"
"46653",112,"House",15413,71,24,"CA",200,0,1,"GALLEGLY, Elton W.","G000021",1944,NA,0.402,-0.1,-194.95235,0.864,1333,74,NA,0.367,0.204,24,"CA-24"
"46654",112,"House",15420,71,2,"CA",200,0,1,"HERGER, Walter William (Wally)","H000528",1945,NA,0.551,0.117,-136.48577,0.905,1374,52,NA,0.572,0.274,2,"CA-2"
"46655",112,"House",15448,71,8,"CA",100,0,1,"PELOSI, Nancy","P000197",1940,NA,-0.49,-0.206,-160.56134,0.88644,1332,71,NA,-0.439,-0.05,8,"CA-8"
"46656",112,"House",15621,71,46,"CA",200,0,1,"ROHRABACHER, Dana","R000409",1947,NA,0.626,-0.417,-294.46089,0.81129,1408,126,NA,0.631,-0.475,46,"CA-46"
"46657",112,"House",20103,71,15,"CA",100,0,1,"HONDA, Mike","H001034",1941,NA,-0.529,-0.482,-158.77275,0.89,1361,66,NA,-0.529,-0.514,15,"CA-15"
