"","congress","chamber","icpsr","state_icpsr","district_code","state_abbrev","party_code","occupancy","last_means","bioname","bioguide_id","born","died","nominate_dim1","nominate_dim2","nominate_log_likelihood","nominate_geo_mean_probability","nominate_number_of_votes","nominate_number_of_errors","conditional","nokken_poole_dim1","nokken_poole_dim2","STUSPS"
"47070",112,"Senate",49700,41,0,"AL",200,0,1,"SESSIONS, Jefferson Beauregard III (Jeff)","S001141",1946,NA,0.549,0.13,-99.08009,0.78298,405,49,NA,0.525,0.043,"AL"
"47071",112,"Senate",94659,41,0,"AL",200,0,1,"SHELBY, Richard C.","S000320",1934,NA,0.429,0.519,-107.66395,0.76757,407,50,NA,0.468,0.423,"AL"
"47072",112,"Senate",40300,81,0,"AK",200,0,1,"MURKOWSKI, Lisa","M001153",1957,NA,0.211,-0.291,-155.71563,0.67286,393,69,NA,0.183,-0.386,"AK"
"47073",112,"Senate",40900,81,0,"AK",100,0,1,"BEGICH, Mark","B001265",1962,NA,-0.235,0.15,-88.4901,0.803,403,38,NA,-0.267,0.268,"AK"
"47074",112,"Senate",15039,61,0,"AZ",200,0,1,"McCAIN, John Sidney, III","M000303",1936,2018,0.381,-0.626,-95.54607,0.78123,387,42,NA,0.444,-0.659,"AZ"
"47075",112,"Senate",15429,61,0,"AZ",200,0,1,"KYL, Jon Llewellyn","K000352",1942,NA,0.548,-0.413,-103.81434,0.77437,406,45,NA,0.445,-0.512,"AZ"
"47076",112,"Senate",20101,42,0,"AR",200,0,1,"BOOZMAN, John","B001236",1950,NA,0.4,0.246,-83.44383,0.81255,402,36,NA,0.408,0.233,"AR"
"47077",112,"Senate",40301,42,0,"AR",100,0,1,"PRYOR, Mark","P000590",1963,NA,-0.199,0.463,-87.54621,0.806,405,40,NA,-0.16,0.481,"AR"
"47078",112,"Senate",15011,71,0,"CA",100,0,1,"BOXER, Barbara","B000711",1940,NA,-0.45,-0.423,-55.04957,0.864,378,19,NA,-0.471,-0.502,"CA"
"47079",112,"Senate",49300,71,0,"CA",100,0,1,"FEINSTEIN, Dianne","F000062",1933,NA,-0.267,-0.185,-50.22362,0.88255,402,21,NA,-0.322,-0.126,"CA"
"47080",112,"Senate",29906,62,0,"CO",100,0,1,"UDALL, Mark","U000038",1950,NA,-0.353,0.049,-73.65591,0.833,403,35,NA,-0.244,-0.172,"CO"
"47081",112,"Senate",40910,62,0,"CO",100,0,1,"BENNET, Michael F.","B001267",1964,NA,-0.224,-0.175,-55.67157,0.87127,404,24,NA,-0.225,-0.199,"CO"
"47082",112,"Senate",15704,1,0,"CT",100,0,1,"LIEBERMAN, Joseph I.","L000304",1942,NA,-0.205,-0.312,-95.42711,0.786,396,44,NA,-0.153,-0.366,"CT"
"47083",112,"Senate",41101,1,0,"CT",100,0,1,"BLUMENTHAL, Richard","B001277",1946,NA,-0.434,-0.163,-44.07379,0.89492,397,18,NA,-0.372,-0.127,"CT"
"47084",112,"Senate",15015,11,0,"DE",100,0,1,"CARPER, Thomas Richard","C000174",1947,NA,-0.175,-0.223,-81.26665,0.8198,409,30,NA,-0.232,-0.382,"DE"
"47085",112,"Senate",40916,11,0,"DE",100,0,1,"COONS, Christopher A.","C001088",1963,NA,-0.227,-0.217,-47.46972,0.89042,409,17,NA,-0.31,-0.443,"DE"
"47086",112,"Senate",14651,43,0,"FL",100,0,1,"NELSON, Clarence William (Bill)","N000032",1942,NA,-0.193,0.337,-60.93819,0.86158,409,26,NA,-0.201,0.063,"FL"
"47087",112,"Senate",41102,43,0,"FL",200,0,1,"RUBIO, Marco","R000595",1971,NA,0.568,-0.271,-100.63638,0.7705,386,40,NA,0.549,-0.215,"FL"
"47088",112,"Senate",29512,44,0,"GA",200,0,1,"CHAMBLISS, Saxby","C000286",1943,NA,0.423,0.205,-91.02064,0.795,397,34,NA,0.449,0.09,"GA"
"47089",112,"Senate",29909,44,0,"GA",200,0,1,"ISAKSON, Johnny","I000055",1944,NA,0.402,-0.011,-92.63976,0.79463,403,37,NA,0.415,0.145,"GA"
"47090",112,"Senate",4812,82,0,"HI",100,1,1,"INOUYE, Daniel Ken","I000025",1924,2012,-0.319,0.062,-40.21371,0.895,363,16,NA,-0.326,0.066,"HI"
"47091",112,"Senate",14400,82,0,"HI",100,0,1,"AKAKA, Daniel Kahikina","A000069",1924,NA,-0.419,0.273,-38.4816,0.909,402,17,NA,-0.45,-0.008,"HI"
"47092",112,"Senate",41112,82,0,"HI",100,2,5,"SCHATZ, Brian Emanuel","S001194",1972,NA,-0.448,-0.106,-1.35067,0.9347,20,0,NA,-0.637,0.385,"HI"
"47093",112,"Senate",29345,63,0,"ID",200,0,1,"CRAPO, Michael Dean","C000880",1951,NA,0.511,0.294,-97.97534,0.78418,403,47,NA,0.591,0.361,"ID"
"47094",112,"Senate",40902,63,0,"ID",200,0,1,"RISCH, James","R000584",1943,NA,0.629,0.565,-81.39985,0.81628,401,38,NA,0.65,0.424,"ID"
"47095",112,"Senate",15021,21,0,"IL",100,0,1,"DURBIN, Richard Joseph","D000563",1944,NA,-0.348,-0.307,-43.58469,0.89821,406,17,NA,-0.453,-0.372,"IL"
"47096",112,"Senate",20115,21,0,"IL",200,0,1,"KIRK, Mark Steven","K000360",1959,NA,0.274,-0.647,-49.77374,0.76,181,18,NA,0.267,-0.666,"IL"
"47097",112,"Senate",14506,22,0,"IN",200,0,1,"LUGAR, Richard Green","L000504",1932,NA,0.304,-0.466,-130.13743,0.725,405,58,NA,0.286,-0.225,"IN"
"47098",112,"Senate",14806,22,0,"IN",200,0,1,"COATS, Daniel Ray","C000542",1943,NA,0.375,-0.227,-99.19009,0.785,409,40,NA,0.403,-0.266,"IN"
"47099",112,"Senate",14226,31,0,"IA",200,0,1,"GRASSLEY, Charles Ernest","G000386",1933,NA,0.346,-0.065,-136.57641,0.71669,410,67,NA,0.418,-0.048,"IA"
"47100",112,"Senate",14230,31,0,"IA",100,0,1,"HARKIN, Thomas Richard (Tom)","H000206",1939,NA,-0.351,-0.546,-59.50591,0.861,399,29,NA,-0.507,-0.171,"IA"
"47101",112,"Senate",14852,32,0,"KS",200,0,1,"ROBERTS, Charles Patrick (Pat)","R000307",1936,NA,0.413,-0.09,-110.3989,0.75509,393,54,NA,0.414,0.291,"KS"
"47102",112,"Senate",29722,32,0,"KS",200,0,1,"MORAN, Jerry","M000934",1954,NA,0.415,0.206,-126.12056,0.72369,390,66,NA,0.406,0.311,"KS"
"47103",112,"Senate",14921,51,0,"KY",200,0,1,"McCONNELL, Addison Mitchell (Mitch)","M000355",1942,NA,0.402,0.003,-92.18238,0.79865,410,41,NA,0.467,0.038,"KY"
"47104",112,"Senate",41104,51,0,"KY",200,0,1,"PAUL, Rand","P000603",1963,NA,0.878,-0.479,-126.01564,0.72568,393,43,NA,0.933,-0.359,"KY"
"47105",112,"Senate",29918,45,0,"LA",200,0,1,"VITTER, David","V000127",1961,NA,0.495,0.323,-122.49722,0.728,386,55,NA,0.586,0.552,"LA"
"47106",112,"Senate",49702,45,0,"LA",100,0,1,"LANDRIEU, Mary L.","L000550",1955,NA,-0.203,0.444,-64.13669,0.852,400,28,NA,-0.231,0.659,"LA"
"47107",112,"Senate",14661,2,0,"ME",200,0,1,"SNOWE, Olympia Jean","S000663",1947,NA,0.091,-0.548,-143.73514,0.701,404,77,NA,0.107,-0.5,"ME"
