"","congress","chamber","icpsr","state_icpsr","district_code","state_abbrev","party_code","occupancy","last_means","bioname","bioguide_id","born","died","nominate_dim1","nominate_dim2","nominate_log_likelihood","nominate_geo_mean_probability","nominate_number_of_votes","nominate_number_of_errors","conditional","nokken_poole_dim1","nokken_poole_dim2","STUSPS"
"48714",115,"Senate",41704,41,0,"AL",200,NA,NA,"STRANGE, Luther  Johnson, III","S001202",1953,NA,0.56,0.18,-10.12332,0.95801,236,4,NA,0.57,0.225,"AL"
"48715",115,"Senate",41705,41,0,"AL",100,NA,NA,"JONES, Gordon Douglas (Doug)","J000300",1954,NA,-0.084,0.202,-38.28946,0.83824,217,24,NA,-0.113,0.108,"AL"
"48716",115,"Senate",49700,41,0,"AL",200,NA,NA,"SESSIONS, Jefferson Beauregard III (Jeff)","S001141",1946,NA,0.549,0.13,-0.56654,0.97062,19,0,NA,0.357,0.241,"AL"
"48717",115,"Senate",94659,41,0,"AL",200,NA,NA,"SHELBY, Richard C.","S000320",1934,NA,0.429,0.519,-25.5601,0.95194,519,13,NA,0.394,0.49,"AL"
"48718",115,"Senate",40300,81,0,"AK",200,NA,NA,"MURKOWSKI, Lisa","M001153",1957,NA,0.211,-0.291,-61.968,0.88474,506,22,NA,0.229,-0.259,"AK"
"48719",115,"Senate",41500,81,0,"AK",200,NA,NA,"SULLIVAN, Daniel Scott","S001198",1964,NA,0.486,0.049,-39.66952,0.9246,506,16,NA,0.47,0.008,"AK"
"48720",115,"Senate",15039,61,0,"AZ",200,NA,NA,"McCAIN, John Sidney, III","M000303",1936,2018,0.381,-0.626,-41.58471,0.85272,261,18,NA,0.394,-0.762,"AZ"
"48721",115,"Senate",15429,61,0,"AZ",200,NA,NA,"KYL, Jon Llewellyn","K000352",1942,NA,0.548,-0.413,-8.46959,0.87605,64,2,NA,0.586,0.272,"AZ"
"48722",115,"Senate",20100,61,0,"AZ",200,NA,NA,"FLAKE, Jeff","F000444",1962,NA,0.855,-0.518,-62.93724,0.87639,477,28,NA,0.853,-0.522,"AZ"
"48723",115,"Senate",20101,42,0,"AR",200,NA,NA,"BOOZMAN, John","B001236",1950,NA,0.4,0.246,-18.06449,0.96579,519,7,NA,0.383,0.333,"AR"
"48724",115,"Senate",21301,42,0,"AR",200,NA,NA,"COTTON, Tom","C001095",1977,NA,0.572,0.083,-32.38595,0.93984,522,13,NA,0.581,0.202,"AR"
"48725",115,"Senate",41701,71,0,"CA",100,NA,NA,"HARRIS, Kamala Devi","H001075",1964,NA,-0.709,-0.13,-51.08661,0.90643,520,21,NA,-0.693,-0.068,"CA"
"48726",115,"Senate",49300,71,0,"CA",100,NA,NA,"FEINSTEIN, Dianne","F000062",1933,NA,-0.267,-0.185,-102.23029,0.8103,486,44,NA,-0.331,-0.325,"CA"
"48727",115,"Senate",21112,62,0,"CO",200,NA,NA,"GARDNER, Cory","G000562",1974,NA,0.444,-0.027,-42.39,0.92171,520,16,NA,0.44,-0.124,"CO"
"48728",115,"Senate",40910,62,0,"CO",100,NA,NA,"BENNET, Michael F.","B001267",1964,NA,-0.224,-0.175,-73.77373,0.86773,520,28,NA,-0.2,-0.148,"CO"
"48729",115,"Senate",20707,1,0,"CT",100,NA,NA,"MURPHY, Christopher","M001169",1973,NA,-0.271,-0.196,-69.08273,0.87537,519,28,NA,-0.299,-0.044,"CT"
"48730",115,"Senate",41101,1,0,"CT",100,NA,NA,"BLUMENTHAL, Richard","B001277",1946,NA,-0.434,-0.163,-83.20764,0.85213,520,35,NA,-0.448,-0.023,"CT"
"48731",115,"Senate",15015,11,0,"DE",100,NA,NA,"CARPER, Thomas Richard","C000174",1947,NA,-0.175,-0.223,-67.70471,0.87703,516,21,NA,-0.183,-0.242,"DE"
"48732",115,"Senate",40916,11,0,"DE",100,NA,NA,"COONS, Christopher A.","C001088",1963,NA,-0.227,-0.217,-71.96307,0.86694,504,34,NA,-0.214,0.001,"DE"
"48733",115,"Senate",14651,43,0,"FL",100,NA,NA,"NELSON, Clarence William (Bill)","N000032",1942,NA,-0.193,0.337,-61.43426,0.88148,487,16,NA,-0.193,0.163,"FL"
"48734",115,"Senate",41102,43,0,"FL",200,NA,NA,"RUBIO, Marco","R000595",1971,NA,0.568,-0.271,-45.50214,0.9108,487,20,NA,0.538,-0.065,"FL"
"48735",115,"Senate",29909,44,0,"GA",200,NA,NA,"ISAKSON, Johnny","I000055",1944,NA,0.402,-0.011,-23.40168,0.95082,464,9,NA,0.359,0.181,"GA"
"48736",115,"Senate",41501,44,0,"GA",200,NA,NA,"PERDUE, David Alfred, Jr.","P000612",1949,NA,0.564,-0.087,-38.53606,0.92831,518,18,NA,0.517,0.107,"GA"
"48737",115,"Senate",20713,82,0,"HI",100,NA,NA,"HIRONO, Mazie","H001042",1947,NA,-0.512,-0.084,-77.75842,0.85859,510,35,NA,-0.441,-0.146,"HI"
"48738",115,"Senate",41112,82,0,"HI",100,NA,NA,"SCHATZ, Brian Emanuel","S001194",1972,NA,-0.448,-0.106,-100.14129,0.82298,514,38,NA,-0.406,-0.076,"HI"
"48739",115,"Senate",29345,63,0,"ID",200,NA,NA,"CRAPO, Michael Dean","C000880",1951,NA,0.511,0.294,-35.13042,0.93431,517,15,NA,0.583,0.337,"ID"
"48740",115,"Senate",40902,63,0,"ID",200,NA,NA,"RISCH, James","R000584",1943,NA,0.629,0.565,-32.41352,0.93968,521,15,NA,0.711,0.367,"ID"
"48741",115,"Senate",15021,21,0,"IL",100,NA,NA,"DURBIN, Richard Joseph","D000563",1944,NA,-0.348,-0.307,-77.93619,0.85829,510,36,NA,-0.324,-0.466,"IL"
"48742",115,"Senate",21325,21,0,"IL",100,NA,NA,"DUCKWORTH, Tammy","D000622",1968,NA,-0.332,0.11,-67.23692,0.86456,462,33,NA,-0.415,0.165,"IL"
"48743",115,"Senate",20717,22,0,"IN",100,NA,NA,"DONNELLY, Joe","D000607",1955,NA,-0.119,0.435,-64.56938,0.88216,515,17,NA,-0.134,0.561,"IN"
"48744",115,"Senate",21133,22,0,"IN",200,NA,NA,"YOUNG, Todd","Y000064",1972,NA,0.474,-0.029,-44.10406,0.91853,519,15,NA,0.367,-0.059,"IN"
"48745",115,"Senate",14226,31,0,"IA",200,NA,NA,"GRASSLEY, Charles Ernest","G000386",1933,NA,0.346,-0.065,-47.55332,0.91293,522,19,NA,0.459,-0.055,"IA"
"48746",115,"Senate",41502,31,0,"IA",200,NA,NA,"ERNST, Joni","E000295",1970,NA,0.529,-0.047,-33.8091,0.93717,521,13,NA,0.525,-0.029,"IA"
"48747",115,"Senate",14852,32,0,"KS",200,NA,NA,"ROBERTS, Charles Patrick (Pat)","R000307",1936,NA,0.413,-0.09,-21.35323,0.95954,517,8,NA,0.342,0.167,"KS"
"48748",115,"Senate",29722,32,0,"KS",200,NA,NA,"MORAN, Jerry","M000934",1954,NA,0.415,0.206,-60.70326,0.8861,502,27,NA,0.475,-0.278,"KS"
"48749",115,"Senate",14921,51,0,"KY",200,NA,NA,"McCONNELL, Addison Mitchell (Mitch)","M000355",1942,NA,0.402,0.003,-30.81549,0.94257,521,8,NA,0.386,-0.024,"KY"
"48750",115,"Senate",41104,51,0,"KY",200,NA,NA,"PAUL, Rand","P000603",1963,NA,0.878,-0.479,-157.85441,0.72973,501,77,NA,0.879,-0.477,"KY"
"48751",115,"Senate",20919,45,0,"LA",200,NA,NA,"CASSIDY, Bill","C001075",1957,NA,0.456,-0.099,-36.79196,0.93118,516,19,NA,0.437,-0.105,"LA"
"48752",115,"Senate",41703,45,0,"LA",200,NA,NA,"KENNEDY, John Neely","K000393",1951,NA,0.59,0.247,-77.28254,0.86214,521,28,NA,0.482,0.462,"LA"
"48753",115,"Senate",41300,2,0,"ME",328,NA,NA,"KING, Angus Stanley, Jr.","K000383",1944,NA,-0.155,-0.21,-83.92111,0.85149,522,42,NA,-0.14,-0.184,"ME"
"48754",115,"Senate",49703,2,0,"ME",200,NA,NA,"COLLINS, Susan Margaret","C001035",1952,NA,0.113,-0.539,-82.64732,0.85357,522,40,NA,0.166,-0.392,"ME"
"48755",115,"Senate",15408,52,0,"MD",100,NA,NA,"CARDIN, Benjamin Louis","C000141",1943,NA,-0.32,-0.22,-65.90197,0.88054,518,24,NA,-0.302,-0.206,"MD"
"48756",115,"Senate",20330,52,0,"MD",100,NA,NA,"VAN HOLLEN, Christopher","V000128",1959,NA,-0.391,-0.205,-67.57173,0.87792,519,26,NA,-0.348,-0.181,"MD"
"48757",115,"Senate",14435,3,0,"MA",100,NA,NA,"MARKEY, Edward John","M000133",1946,NA,-0.512,-0.453,-55.04143,0.89938,519,24,NA,-0.585,-0.504,"MA"
"48758",115,"Senate",41301,3,0,"MA",100,NA,NA,"WARREN, Elizabeth","W000817",1949,NA,-0.77,-0.286,-30.75089,0.94279,522,12,NA,-0.783,-0.226,"MA"
"48759",115,"Senate",20923,23,0,"MI",100,NA,NA,"PETERS, Gary C.","P000595",1958,NA,-0.245,-0.187,-108.61881,0.81116,519,45,NA,-0.276,-0.139,"MI"
"48760",115,"Senate",29732,23,0,"MI",100,NA,NA,"STABENOW, Deborah Ann","S000770",1950,NA,-0.342,-0.014,-97.70965,0.82839,519,40,NA,-0.366,0.165,"MI"
