"","congress","chamber","icpsr","state_icpsr","district_code","state_abbrev","party_code","occupancy","last_means","bioname","bioguide_id","born","died","nominate_dim1","nominate_dim2","nominate_log_likelihood","nominate_geo_mean_probability","nominate_number_of_votes","nominate_number_of_errors","conditional","nokken_poole_dim1","nokken_poole_dim2","CD116FP","STCD"
"48819",116,"House",20301,41,3,"AL",200,NA,NA,"ROGERS, Mike Dennis","R000575",1958,NA,0.355,0.459,-167.9435,0.79622,737,70,NA,0.52,0.365,3,"AL-3"
"48820",116,"House",21102,41,7,"AL",100,NA,NA,"SEWELL, Terri","S001185",1965,NA,-0.391,0.402,-28.34878,0.96324,757,11,NA,-0.431,0.386,7,"AL-7"
"48821",116,"House",21192,41,2,"AL",200,NA,NA,"ROBY, Martha","R000591",1976,NA,0.362,0.657,-88.17303,0.88053,693,30,NA,0.342,0.682,2,"AL-2"
"48822",116,"House",21193,41,5,"AL",200,NA,NA,"BROOKS, Mo","B001274",1954,NA,0.649,-0.449,-131.90371,0.84313,773,49,NA,0.778,-0.381,5,"AL-5"
"48823",116,"House",21376,41,1,"AL",200,NA,NA,"BYRNE, Bradley","B001289",1955,NA,0.612,0.245,-101.91034,0.85851,668,40,NA,0.709,0.174,1,"AL-1"
"48824",116,"House",21500,41,6,"AL",200,NA,NA,"PALMER, Gary James","P000609",1954,NA,0.711,-0.041,-98.64822,0.87872,763,41,NA,0.668,0.07,6,"AL-6"
"48825",116,"House",29701,41,4,"AL",200,NA,NA,"ADERHOLT, Robert","A000055",1965,NA,0.369,0.59,-119.29186,0.8513,741,43,NA,0.452,0.477,4,"AL-4"
"48826",116,"House",14066,81,1,"AK",200,NA,NA,"YOUNG, Donald Edwin","Y000033",1933,NA,0.284,0.022,-216.09795,0.74851,746,81,NA,0.334,0.092,1,"AK-1"
"48827",116,"House",20305,61,3,"AZ",100,NA,NA,"GRIJALVA, Raúl M.","G000551",1948,NA,-0.599,-0.256,-21.38613,0.97144,738,8,NA,-0.581,-0.585,3,"AZ-3"
"48828",116,"House",20902,61,2,"AZ",100,NA,NA,"KIRKPATRICK, Ann","K000368",1950,NA,-0.164,-0.007,-46.17159,0.93454,682,19,NA,-0.368,0.401,2,"AZ-2"
"48829",116,"House",21103,61,4,"AZ",200,NA,NA,"GOSAR, Paul","G000565",1958,NA,0.677,-0.42,-116.39433,0.85168,725,44,NA,0.919,-0.395,4,"AZ-4"
"48830",116,"House",21105,61,6,"AZ",200,NA,NA,"SCHWEIKERT, David","S001183",1962,NA,0.589,-0.32,-195.20856,0.77784,777,91,NA,0.518,-0.294,6,"AZ-6"
"48831",116,"House",21502,61,7,"AZ",100,NA,NA,"GALLEGO, Ruben","G000574",1979,NA,-0.449,-0.013,-20.98773,0.97301,767,11,NA,-0.43,0.038,7,"AZ-7"
"48832",116,"House",21705,61,5,"AZ",200,NA,NA,"BIGGS, Andrew S.","B001302",1958,NA,0.882,-0.471,-93.62697,0.8848,765,30,NA,1,-0.03,5,"AZ-5"
"48833",116,"House",21739,61,1,"AZ",100,NA,NA,"O'HALLERAN, Thomas C.","O000171",1946,NA,-0.187,0.146,-43.92489,0.94434,767,15,NA,-0.33,0.401,1,"AZ-1"
"48834",116,"House",21757,61,8,"AZ",200,NA,NA,"LESKO, Debbie","L000589",1958,NA,0.606,-0.034,-101.76203,0.87575,767,48,NA,0.594,-0.001,8,"AZ-8"
"48835",116,"House",21968,61,9,"AZ",100,NA,NA,"STANTON, Greg","S001211",1970,NA,-0.31,-0.053,-19.93125,0.97467,777,8,NA,-0.309,-0.056,9,"AZ-9"
"48836",116,"House",21106,42,1,"AR",200,NA,NA,"CRAWFORD, Rick","C001087",1966,NA,0.414,0.493,-84.1186,0.88901,715,36,NA,0.511,0.53,1,"AR-1"
"48837",116,"House",21108,42,3,"AR",200,NA,NA,"WOMACK, Steve","W000809",1957,NA,0.357,0.585,-66.41335,0.91828,779,23,NA,0.381,0.618,3,"AR-3"
"48838",116,"House",21503,42,2,"AR",200,NA,NA,"HILL, French","H001072",1956,NA,0.454,0.226,-89.93792,0.89016,773,33,NA,0.423,0.331,2,"AR-2"
"48839",116,"House",21563,42,4,"AR",200,NA,NA,"WESTERMAN, Bruce Eugene","W000821",1967,NA,0.551,0.352,-71.45002,0.91083,765,29,NA,0.551,0.459,4,"AR-4"
"48840",116,"House",15448,71,12,"CA",100,NA,NA,"PELOSI, Nancy","P000197",1940,NA,-0.49,-0.206,-0.60393,0.99046,63,0,NA,-0.427,0.184,12,"CA-12"
"48841",116,"House",20104,71,28,"CA",100,NA,NA,"SCHIFF, Adam","S001150",1960,NA,-0.349,-0.129,-14.56568,0.98143,777,4,NA,-0.426,-0.013,28,"CA-28"
"48842",116,"House",20108,71,53,"CA",100,NA,NA,"DAVIS, Susan A.","D000598",1944,NA,-0.343,-0.103,-15.41957,0.98017,770,4,NA,-0.338,-0.015,53,"CA-53"
"48843",116,"House",20307,71,22,"CA",200,NA,NA,"NUNES, Devin","N000181",1973,NA,0.449,0.215,-77.28391,0.90474,772,29,NA,0.46,0.417,22,"CA-22"
"48844",116,"House",20310,71,38,"CA",100,NA,NA,"SÁNCHEZ, Linda T.","S001156",1969,NA,-0.508,-0.137,-12.68866,0.98333,755,5,NA,-0.525,-0.045,38,"CA-38"
"48845",116,"House",20501,71,16,"CA",100,NA,NA,"COSTA, Jim","C001059",1952,NA,-0.191,0.464,-97.02288,0.88161,770,35,NA,-0.37,0.757,16,"CA-16"
"48846",116,"House",20538,71,6,"CA",100,NA,NA,"MATSUI, Doris","M001163",1944,NA,-0.434,-0.162,-27.98259,0.9644,772,9,NA,-0.419,0.077,6,"CA-6"
"48847",116,"House",20702,71,9,"CA",100,NA,NA,"McNERNEY, Jerry","M001166",1951,NA,-0.262,-0.153,-19.82593,0.97408,755,8,NA,-0.426,-0.183,9,"CA-9"
"48848",116,"House",20703,71,23,"CA",200,NA,NA,"MCCARTHY, Kevin","M001165",1965,NA,0.458,0.212,-92.92698,0.88561,765,41,NA,0.428,0.367,23,"CA-23"
"48849",116,"House",20762,71,14,"CA",100,NA,NA,"SPEIER, Karen Lorraine Jacqueline (Jackie)","S001175",1950,NA,-0.38,-0.444,-40.81265,0.94648,742,9,NA,-0.309,-0.255,14,"CA-14"
"48850",116,"House",20903,71,4,"CA",200,NA,NA,"McCLINTOCK, Tom","M001177",1956,NA,0.719,-0.475,-169.55332,0.7998,759,94,NA,0.646,-0.377,4,"CA-4"
"48851",116,"House",20955,71,27,"CA",100,NA,NA,"CHU, Judy","C001080",1953,NA,-0.487,-0.378,-14.14074,0.98197,777,5,NA,-0.424,-0.442,27,"CA-27"
"48852",116,"House",20958,71,3,"CA",100,NA,NA,"GARAMENDI, John","G000559",1945,NA,-0.309,-0.093,-31.12964,0.96012,765,8,NA,-0.299,-0.043,3,"CA-3"
"48853",116,"House",20963,71,50,"CA",200,NA,NA,"HUNTER, Duncan Duane","H001048",1976,NA,0.539,0.085,-124.54558,0.79736,550,57,NA,0.637,-0.1,50,"CA-50"
"48854",116,"House",21110,71,37,"CA",100,NA,NA,"BASS, Karen","B001270",1953,NA,-0.585,-0.106,-16.04308,0.97844,736,8,NA,-0.573,-0.41,37,"CA-37"
"48855",116,"House",21302,71,1,"CA",200,NA,NA,"LaMALFA, Doug","L000578",1960,NA,0.53,0.088,-117.44806,0.85594,755,49,NA,0.505,0.105,1,"CA-1"
"48856",116,"House",21303,71,2,"CA",100,NA,NA,"HUFFMAN, Jared","H001068",1964,NA,-0.427,-0.543,-23.91773,0.96874,753,7,NA,-0.416,-0.633,2,"CA-2"
"48857",116,"House",21304,71,7,"CA",100,NA,NA,"BERA, Ami","B001287",1965,NA,-0.232,0.014,-29.21683,0.96314,778,11,NA,-0.361,0.3,7,"CA-7"
"48858",116,"House",21305,71,8,"CA",200,NA,NA,"COOK, Paul","C001094",1943,NA,0.372,0.207,-105.42351,0.86903,751,43,NA,0.321,0.376,8,"CA-8"
"48859",116,"House",21306,71,15,"CA",100,NA,NA,"SWALWELL, Eric","S001193",1980,NA,-0.368,-0.105,-21.27767,0.96481,594,7,NA,-0.523,0.265,15,"CA-15"
"48860",116,"House",21308,71,26,"CA",100,NA,NA,"BROWNLEY, Julia","B001285",1952,NA,-0.286,0.052,-30.05863,0.96152,766,12,NA,-0.366,0.21,26,"CA-26"
"48861",116,"House",21309,71,29,"CA",100,NA,NA,"CÁRDENAS, Tony","C001097",1963,NA,-0.382,0.02,-29.69432,0.96082,743,15,NA,-0.449,0.034,29,"CA-29"
"48862",116,"House",21311,71,36,"CA",100,NA,NA,"RUIZ, Raul","R000599",1972,NA,-0.243,0.06,-42.50656,0.9469,779,18,NA,-0.391,0.215,36,"CA-36"
"48863",116,"House",21312,71,41,"CA",100,NA,NA,"TAKANO, Mark","T000472",1960,NA,-0.463,-0.262,-16.81696,0.97823,764,6,NA,-0.396,-0.372,41,"CA-41"
"48864",116,"House",21313,71,47,"CA",100,NA,NA,"LOWENTHAL, Alan","L000579",1941,NA,-0.45,-0.374,-15.67466,0.98003,777,5,NA,-0.47,-0.576,47,"CA-47"
"48865",116,"House",21314,71,51,"CA",100,NA,NA,"VARGAS, Juan","V000130",1961,NA,-0.4,0.099,-31.60653,0.95932,761,11,NA,-0.544,-0.199,51,"CA-51"
"48866",116,"House",21315,71,52,"CA",100,NA,NA,"PETERS, Scott","P000608",1958,NA,-0.179,-0.046,-60.38726,0.92352,759,24,NA,-0.222,0.17,52,"CA-52"
"48867",116,"House",21504,71,11,"CA",100,NA,NA,"DESAULNIER, Mark James","D000623",1952,NA,-0.529,-0.361,-11.59434,0.98506,770,4,NA,-0.458,-0.54,11,"CA-11"
"48868",116,"House",21506,71,31,"CA",100,NA,NA,"AGUILAR, Peter Rey","A000371",1979,NA,-0.291,0.136,-48.89535,0.9387,773,19,NA,-0.445,0.399,31,"CA-31"
"48869",116,"House",21507,71,33,"CA",100,NA,NA,"LIEU, Ted","L000582",1969,NA,-0.371,-0.263,-24.84463,0.96707,742,8,NA,-0.596,-0.188,33,"CA-33"
