"","congress","chamber","icpsr","state_icpsr","district_code","state_abbrev","party_code","occupancy","last_means","bioname","bioguide_id","born","died","nominate_dim1","nominate_dim2","nominate_log_likelihood","nominate_geo_mean_probability","nominate_number_of_votes","nominate_number_of_errors","conditional","nokken_poole_dim1","nokken_poole_dim2","STUSPS"
"45414",109,"Senate",49700,41,0,"AL",200,0,1,"SESSIONS, Jefferson Beauregard III (Jeff)","S001141",1946,NA,0.549,0.13,-77.46735,0.86109,518,34,NA,0.656,0.19,"AL"
"45415",109,"Senate",94659,41,0,"AL",200,0,1,"SHELBY, Richard C.","S000320",1934,NA,0.429,0.519,-84.56955,0.84775,512,36,NA,0.408,0.426,"AL"
"45416",109,"Senate",12109,81,0,"AK",200,0,1,"STEVENS, Theodore Fulton (Ted)","S000888",1923,2010,0.219,-0.5,-129.87977,0.776,512,48,NA,0.298,-0.344,"AK"
"45417",109,"Senate",40300,81,0,"AK",200,0,1,"MURKOWSKI, Lisa","M001153",1957,NA,0.211,-0.291,-103.5124,0.81598,509,37,NA,0.279,-0.261,"AK"
"45418",109,"Senate",15039,61,0,"AZ",200,0,1,"McCAIN, John Sidney, III","M000303",1936,2018,0.381,-0.626,-161.43676,0.71687,485,88,NA,0.354,-0.935,"AZ"
"45419",109,"Senate",15429,61,0,"AZ",200,0,1,"KYL, Jon Llewellyn","K000352",1942,NA,0.548,-0.413,-98.51422,0.82711,519,44,NA,0.544,-0.416,"AZ"
"45420",109,"Senate",29305,42,0,"AR",100,0,1,"LINCOLN, Blanche Lambert","L000035",1960,NA,-0.166,0.178,-123.08013,0.788,517,45,NA,-0.218,0.197,"AR"
"45421",109,"Senate",40301,42,0,"AR",100,0,1,"PRYOR, Mark","P000590",1963,NA,-0.199,0.463,-125.45724,0.785,519,53,NA,-0.211,0.366,"AR"
"45422",109,"Senate",15011,71,0,"CA",100,0,1,"BOXER, Barbara","B000711",1940,NA,-0.45,-0.423,-62.39722,0.882,497,31,NA,-0.527,-0.122,"CA"
"45423",109,"Senate",49300,71,0,"CA",100,0,1,"FEINSTEIN, Dianne","F000062",1933,NA,-0.267,-0.185,-100.37141,0.82198,512,51,NA,-0.293,-0.183,"CA"
"45424",109,"Senate",29108,62,0,"CO",200,0,1,"ALLARD, A. Wayne","A000109",1943,NA,0.572,-0.121,-85.53101,0.848,518,40,NA,0.556,-0.049,"CO"
"45425",109,"Senate",40500,62,0,"CO",100,0,1,"SALAZAR, Kenneth Lee","S001163",1955,NA,-0.223,0.042,-116.76393,0.795,509,50,NA,-0.243,0.135,"CO"
"45426",109,"Senate",14213,1,0,"CT",100,0,1,"DODD, Christopher John","D000388",1944,NA,-0.328,-0.317,-93.61144,0.828,497,49,NA,-0.33,-0.431,"CT"
"45427",109,"Senate",15704,1,0,"CT",100,0,1,"LIEBERMAN, Joseph I.","L000304",1942,NA,-0.205,-0.312,-119.32978,0.782,486,49,NA,-0.232,-0.355,"CT"
"45428",109,"Senate",14101,11,0,"DE",100,0,1,"BIDEN, Joseph Robinette, Jr.","B000444",1942,NA,-0.314,-0.042,-114.49329,0.789,482,52,NA,-0.243,-0.304,"DE"
"45429",109,"Senate",15015,11,0,"DE",100,0,1,"CARPER, Thomas Richard","C000174",1947,NA,-0.175,-0.223,-162.71965,0.73042,518,84,NA,-0.145,-0.251,"DE"
"45430",109,"Senate",14651,43,0,"FL",100,0,1,"NELSON, Clarence William (Bill)","N000032",1942,NA,-0.193,0.337,-179.19847,0.70755,518,80,NA,-0.212,0.182,"FL"
"45431",109,"Senate",40501,43,0,"FL",200,0,1,"MARTINEZ, Melquiades R. (Mel)","M001162",1946,NA,0.333,-0.417,-116.57877,0.796,511,51,NA,0.343,-0.372,"FL"
"45432",109,"Senate",29512,44,0,"GA",200,0,1,"CHAMBLISS, Saxby","C000286",1943,NA,0.423,0.205,-71.44862,0.869,508,32,NA,0.473,0.238,"GA"
"45433",109,"Senate",29909,44,0,"GA",200,0,1,"ISAKSON, Johnny","I000055",1944,NA,0.402,-0.011,-76.34729,0.86172,513,34,NA,0.486,0.137,"GA"
"45434",109,"Senate",4812,82,0,"HI",100,0,1,"INOUYE, Daniel Ken","I000025",1924,2012,-0.319,0.062,-118.798,0.775,466,50,NA,-0.293,-0.024,"HI"
"45435",109,"Senate",14400,82,0,"HI",100,0,1,"AKAKA, Daniel Kahikina","A000069",1924,NA,-0.419,0.273,-88.29644,0.842,512,37,NA,-0.434,0.153,"HI"
"45436",109,"Senate",14809,63,0,"ID",200,0,1,"CRAIG, Larry Edwin","C000858",1945,NA,0.494,-0.014,-107.66549,0.812,516,45,NA,0.411,-0.127,"ID"
"45437",109,"Senate",29345,63,0,"ID",200,0,1,"CRAPO, Michael Dean","C000880",1951,NA,0.511,0.294,-82.85767,0.85218,518,34,NA,0.45,0.175,"ID"
"45438",109,"Senate",15021,21,0,"IL",100,0,1,"DURBIN, Richard Joseph","D000563",1944,NA,-0.348,-0.307,-66.14155,0.87926,514,32,NA,-0.44,-0.264,"IL"
"45439",109,"Senate",40502,21,0,"IL",100,0,1,"OBAMA, Barack","O000167",1961,NA,-0.343,-0.434,-77.12231,0.861,514,37,NA,-0.34,-0.337,"IL"
"45440",109,"Senate",14506,22,0,"IN",200,0,1,"LUGAR, Richard Green","L000504",1932,NA,0.304,-0.466,-132.78533,0.773,515,57,NA,0.259,-0.558,"IN"
"45441",109,"Senate",49901,22,0,"IN",100,0,1,"BAYH, Evan","B001233",1955,NA,-0.158,-0.142,-161.15047,0.731,515,84,NA,-0.271,-0.064,"IN"
"45442",109,"Senate",14226,31,0,"IA",200,0,1,"GRASSLEY, Charles Ernest","G000386",1933,NA,0.346,-0.065,-98.75963,0.82702,520,45,NA,0.392,0.006,"IA"
"45443",109,"Senate",14230,31,0,"IA",100,0,1,"HARKIN, Thomas Richard (Tom)","H000206",1939,NA,-0.351,-0.546,-97.42774,0.828,516,41,NA,-0.476,-0.014,"IA"
