"","congress","chamber","icpsr","state_icpsr","district_code","state_abbrev","party_code","occupancy","last_means","bioname","bioguide_id","born","died","nominate_dim1","nominate_dim2","nominate_log_likelihood","nominate_geo_mean_probability","nominate_number_of_votes","nominate_number_of_errors","conditional","nokken_poole_dim1","nokken_poole_dim2","CD116FP","STCD"
"47722",114,"House",20301,41,3,"AL",200,0,1,"ROGERS, Mike Dennis","R000575",1958,NA,0.355,0.459,-135.36758,0.88411,1099,60,NA,0.389,0.33,3,"AL-3"
"47723",114,"House",21102,41,7,"AL",100,0,1,"SEWELL, Terri","S001185",1965,NA,-0.391,0.402,-178.76391,0.84508,1062,86,NA,-0.398,0.437,7,"AL-7"
"47724",114,"House",21192,41,2,"AL",200,0,1,"ROBY, Martha","R000591",1976,NA,0.362,0.657,-91.90276,0.9195,1095,33,NA,0.398,0.707,2,"AL-2"
"47725",114,"House",21193,41,5,"AL",200,0,1,"BROOKS, Mo","B001274",1954,NA,0.649,-0.449,-265.31368,0.78875,1118,103,NA,0.919,-0.395,5,"AL-5"
"47726",114,"House",21376,41,1,"AL",200,0,1,"BYRNE, Bradley","B001289",1955,NA,0.612,0.245,-119.97443,0.89649,1098,48,NA,0.518,0.253,1,"AL-1"
"47727",114,"House",21500,41,6,"AL",200,0,1,"PALMER, Gary James","P000609",1954,NA,0.711,-0.041,-108.27471,0.90785,1120,40,NA,0.782,-0.16,6,"AL-6"
"47728",114,"House",29701,41,4,"AL",200,0,1,"ADERHOLT, Robert","A000055",1965,NA,0.369,0.59,-102.3622,0.91198,1111,41,NA,0.399,0.917,4,"AL-4"
"47729",114,"House",14066,81,1,"AK",200,0,1,"YOUNG, Donald Edwin","Y000033",1933,NA,0.284,0.022,-171.24517,0.84938,1049,72,NA,0.291,0.205,1,"AK-1"
"47730",114,"House",20304,61,8,"AZ",200,0,1,"FRANKS, Trent","F000448",1957,NA,0.749,0.087,-125.06434,0.89197,1094,45,NA,0.694,-0.044,8,"AZ-8"
"47731",114,"House",20305,61,3,"AZ",100,0,1,"GRIJALVA, Raúl M.","G000551",1948,NA,-0.599,-0.256,-91.55923,0.91657,1051,35,NA,-0.765,-0.442,3,"AZ-3"
"47732",114,"House",20902,61,1,"AZ",100,0,1,"KIRKPATRICK, Ann","K000368",1950,NA,-0.164,-0.007,-259.10812,0.77815,1033,120,NA,-0.25,0.173,1,"AZ-1"
"47733",114,"House",21103,61,4,"AZ",200,0,1,"GOSAR, Paul","G000565",1958,NA,0.677,-0.42,-154.76698,0.86684,1083,60,NA,0.762,-0.519,4,"AZ-4"
"47734",114,"House",21105,61,6,"AZ",200,0,1,"SCHWEIKERT, David","S001183",1962,NA,0.589,-0.32,-132.88748,0.88802,1119,54,NA,0.629,-0.393,6,"AZ-6"
"47735",114,"House",21300,61,9,"AZ",100,0,1,"SINEMA, Kyrsten","S001191",1976,NA,-0.102,0.06,-403.01442,0.69021,1087,180,NA,-0.11,0.135,9,"AZ-9"
"47736",114,"House",21501,61,2,"AZ",200,0,1,"McSALLY, Martha","M001197",1966,NA,0.344,0.03,-199.61292,0.83742,1125,95,NA,0.321,0.006,2,"AZ-2"
"47737",114,"House",21502,61,7,"AZ",100,0,1,"GALLEGO, Ruben","G000574",1979,NA,-0.449,-0.013,-79.72518,0.93069,1110,27,NA,-0.483,-0.013,7,"AZ-7"
"47738",114,"House",29500,61,5,"AZ",200,0,1,"SALMON, Matthew James","S000018",1958,NA,0.673,-0.272,-162.72287,0.862,1092,62,NA,0.637,-0.32,5,"AZ-5"
"47739",114,"House",21106,42,1,"AR",200,0,1,"CRAWFORD, Rick","C001087",1966,NA,0.414,0.493,-98.18523,0.91333,1083,35,NA,0.432,0.364,1,"AR-1"
"47740",114,"House",21108,42,3,"AR",200,0,1,"WOMACK, Steve","W000809",1957,NA,0.357,0.585,-65.72649,0.94325,1125,20,NA,0.346,0.838,3,"AR-3"
"47741",114,"House",21503,42,2,"AR",200,0,1,"HILL, French","H001072",1956,NA,0.454,0.226,-115.08721,0.90243,1121,50,NA,0.466,0.177,2,"AR-2"
"47742",114,"House",21563,42,4,"AR",200,0,1,"WESTERMAN, Bruce Eugene","W000821",1967,NA,0.551,0.352,-78.39842,0.93251,1122,31,NA,0.526,0.423,4,"AR-4"
"47743",114,"House",15448,71,12,"CA",100,0,1,"PELOSI, Nancy","P000197",1940,NA,-0.49,-0.206,-64.16498,0.94006,1038,23,NA,-0.499,-0.001,12,"CA-12"
"47744",114,"House",15621,71,48,"CA",200,0,1,"ROHRABACHER, Dana","R000409",1947,NA,0.626,-0.417,-166.27484,0.85995,1102,74,NA,0.612,-0.501,48,"CA-48"
"47745",114,"House",20103,71,17,"CA",100,0,1,"HONDA, Mike","H001034",1941,NA,-0.529,-0.482,-57.09059,0.95,1113,27,NA,-0.528,-0.6,17,"CA-17"
"47746",114,"House",20104,71,28,"CA",100,0,1,"SCHIFF, Adam","S001150",1960,NA,-0.349,-0.129,-84.01657,0.92754,1117,28,NA,-0.409,-0.052,28,"CA-28"
"47747",114,"House",20107,71,49,"CA",200,0,1,"ISSA, Darrell","I000056",1953,NA,0.506,-0.085,-139.76195,0.87924,1086,60,NA,0.501,-0.115,49,"CA-49"
"47748",114,"House",20108,71,53,"CA",100,0,1,"DAVIS, Susan A.","D000598",1944,NA,-0.343,-0.103,-96.17975,0.91757,1118,33,NA,-0.384,0.071,53,"CA-53"
"47749",114,"House",20307,71,22,"CA",200,0,1,"NUNES, Devin","N000181",1973,NA,0.449,0.215,-106.43717,0.90957,1123,46,NA,0.335,0.626,22,"CA-22"
