"","congress","chamber","icpsr","state_icpsr","district_code","state_abbrev","party_code","occupancy","last_means","bioname","bioguide_id","born","died","nominate_dim1","nominate_dim2","nominate_log_likelihood","nominate_geo_mean_probability","nominate_number_of_votes","nominate_number_of_errors","conditional","nokken_poole_dim1","nokken_poole_dim2","STUSPS"
"44873",108,"Senate",49700,41,0,"AL",200,0,1,"SESSIONS, Jefferson Beauregard III (Jeff)","S001141",1946,NA,0.549,0.13,-57.5649,0.89366,512,31,NA,0.552,-0.133,"AL"
"44874",108,"Senate",94659,41,0,"AL",200,0,1,"SHELBY, Richard C.","S000320",1934,NA,0.429,0.519,-67.2649,0.87666,511,34,NA,0.386,0.378,"AL"
"44875",108,"Senate",12109,81,0,"AK",200,0,1,"STEVENS, Theodore Fulton (Ted)","S000888",1923,2010,0.219,-0.5,-85.42846,0.848,518,33,NA,0.282,-0.127,"AK"
"44876",108,"Senate",40300,81,0,"AK",200,2,5,"MURKOWSKI, Lisa","M001153",1957,NA,0.211,-0.291,-82.90068,0.84693,499,34,NA,0.228,-0.18,"AK"
"44877",108,"Senate",15039,61,0,"AZ",200,0,1,"McCAIN, John Sidney, III","M000303",1936,2018,0.381,-0.626,-212.64497,0.65851,509,86,NA,0.245,-0.97,"AZ"
"44878",108,"Senate",15429,61,0,"AZ",200,0,1,"KYL, Jon Llewellyn","K000352",1942,NA,0.548,-0.413,-59.9154,0.88997,514,23,NA,0.608,-0.6,"AZ"
"44879",108,"Senate",29305,42,0,"AR",100,0,1,"LINCOLN, Blanche Lambert","L000035",1960,NA,-0.166,0.178,-123.47273,0.787,516,45,NA,-0.189,0.463,"AR"
"44880",108,"Senate",40301,42,0,"AR",100,0,1,"PRYOR, Mark","P000590",1963,NA,-0.199,0.463,-110.13339,0.808,517,42,NA,-0.232,0.642,"AR"
"44881",108,"Senate",15011,71,0,"CA",100,0,1,"BOXER, Barbara","B000711",1940,NA,-0.45,-0.423,-50.13665,0.905,501,22,NA,-0.43,-0.425,"CA"
"44882",108,"Senate",49300,71,0,"CA",100,0,1,"FEINSTEIN, Dianne","F000062",1933,NA,-0.267,-0.185,-109.12084,0.80772,511,46,NA,-0.28,-0.485,"CA"
"44883",108,"Senate",29108,62,0,"CO",200,0,1,"ALLARD, A. Wayne","A000109",1943,NA,0.572,-0.121,-54.54884,0.9,517,22,NA,0.573,0.09,"CO"
"44884",108,"Senate",95407,62,0,"CO",200,0,1,"CAMPBELL, Ben Nighthorse","C000077",1933,NA,0.23,0.132,-91.88346,0.822,470,39,NA,0.229,0.32,"CO"
"44885",108,"Senate",14213,1,0,"CT",100,0,1,"DODD, Christopher John","D000388",1944,NA,-0.328,-0.317,-73.93604,0.865,510,33,NA,-0.364,-0.434,"CT"
"44886",108,"Senate",15704,1,0,"CT",100,0,1,"LIEBERMAN, Joseph I.","L000304",1942,NA,-0.205,-0.312,-71.21856,0.806,331,28,NA,-0.249,-0.55,"CT"
"44887",108,"Senate",14101,11,0,"DE",100,0,1,"BIDEN, Joseph Robinette, Jr.","B000444",1942,NA,-0.314,-0.042,-113.30231,0.794,491,49,NA,-0.267,-0.436,"DE"
"44888",108,"Senate",15015,11,0,"DE",100,0,1,"CARPER, Thomas Richard","C000174",1947,NA,-0.175,-0.223,-162.67019,0.72781,512,71,NA,-0.202,-0.286,"DE"
"44889",108,"Senate",14651,43,0,"FL",100,0,1,"NELSON, Clarence William (Bill)","N000032",1942,NA,-0.193,0.337,-145.28586,0.75253,511,64,NA,-0.235,0.09,"FL"
"44890",108,"Senate",15503,43,0,"FL",100,0,1,"GRAHAM, Daniel Robert (Bob)","G000352",1936,NA,-0.231,-0.012,-103.26021,0.777,410,39,NA,-0.345,-0.342,"FL"
"44891",108,"Senate",29512,44,0,"GA",200,0,1,"CHAMBLISS, Saxby","C000286",1943,NA,0.423,0.205,-44.36228,0.915,501,21,NA,0.399,0.03,"GA"
"44892",108,"Senate",49904,44,0,"GA",100,0,1,"MILLER, Zell Bryan","M001141",1932,NA,0.146,0.105,-108.76228,0.781,439,42,NA,0.287,0.112,"GA"
"44893",108,"Senate",4812,82,0,"HI",100,0,1,"INOUYE, Daniel Ken","I000025",1924,2012,-0.319,0.062,-104.15978,0.802,473,38,NA,-0.327,0.217,"HI"
"44894",108,"Senate",14400,82,0,"HI",100,0,1,"AKAKA, Daniel Kahikina","A000069",1924,NA,-0.419,0.273,-77.20507,0.854,490,34,NA,-0.399,-0.026,"HI"
"44895",108,"Senate",14809,63,0,"ID",200,0,1,"CRAIG, Larry Edwin","C000858",1945,NA,0.494,-0.014,-47.09959,0.912,513,18,NA,0.521,0.161,"ID"
"44896",108,"Senate",29345,63,0,"ID",200,0,1,"CRAPO, Michael Dean","C000880",1951,NA,0.511,0.294,-46.06299,0.9138,511,17,NA,0.493,0.375,"ID"
"44897",108,"Senate",15021,21,0,"IL",100,0,1,"DURBIN, Richard Joseph","D000563",1944,NA,-0.348,-0.307,-64.44168,0.8826,516,24,NA,-0.435,-0.177,"IL"
"44898",108,"Senate",49900,21,0,"IL",200,0,1,"FITZGERALD, Peter G.","F000442",1960,NA,0.28,-0.825,-103.07809,0.817,511,45,NA,0.329,-0.818,"IL"
"44899",108,"Senate",14506,22,0,"IN",200,0,1,"LUGAR, Richard Green","L000504",1932,NA,0.304,-0.466,-73.27607,0.866,511,22,NA,0.301,-0.396,"IN"
"44900",108,"Senate",49901,22,0,"IN",100,0,1,"BAYH, Evan","B001233",1955,NA,-0.158,-0.142,-166.27361,0.723,513,78,NA,-0.179,0.064,"IN"
"44901",108,"Senate",14226,31,0,"IA",200,0,1,"GRASSLEY, Charles Ernest","G000386",1933,NA,0.346,-0.065,-50.34797,0.90755,519,19,NA,0.332,-0.098,"IA"
"44902",108,"Senate",14230,31,0,"IA",100,0,1,"HARKIN, Thomas Richard (Tom)","H000206",1939,NA,-0.351,-0.546,-83.84428,0.846,500,38,NA,-0.434,0.217,"IA"
"44903",108,"Senate",14852,32,0,"KS",200,0,1,"ROBERTS, Charles Patrick (Pat)","R000307",1936,NA,0.413,-0.09,-56.87812,0.89601,518,25,NA,0.341,-0.055,"KS"
"44904",108,"Senate",29523,32,0,"KS",200,0,1,"BROWNBACK, Sam Dale","B000953",1956,NA,0.439,-0.306,-66.40084,0.877,505,28,NA,0.37,-0.223,"KS"
"44905",108,"Senate",14921,51,0,"KY",200,0,1,"McCONNELL, Addison Mitchell (Mitch)","M000355",1942,NA,0.402,0.003,-35.88065,0.93193,509,14,NA,0.422,0.115,"KY"
"44906",108,"Senate",15406,51,0,"KY",200,0,1,"BUNNING, James Paul David","B001066",1931,NA,0.521,-0.049,-45.55159,0.914,504,17,NA,0.48,0.34,"KY"
"44907",108,"Senate",13056,45,0,"LA",100,0,1,"BREAUX, John Berlinger","B000780",1944,NA,-0.123,0.702,-166.78279,0.72,508,83,NA,-0.084,0.77,"LA"
"44908",108,"Senate",49702,45,0,"LA",100,0,1,"LANDRIEU, Mary L.","L000550",1955,NA,-0.203,0.444,-118.1681,0.795,514,53,NA,-0.19,0.547,"LA"
"44909",108,"Senate",14661,2,0,"ME",200,0,1,"SNOWE, Olympia Jean","S000663",1947,NA,0.091,-0.548,-166.56166,0.725,519,81,NA,0.067,-0.744,"ME"
"44910",108,"Senate",49703,2,0,"ME",200,0,1,"COLLINS, Susan Margaret","C001035",1952,NA,0.113,-0.539,-152.13403,0.74593,519,69,NA,0.092,-0.706,"ME"
"44911",108,"Senate",13039,52,0,"MD",100,0,1,"SARBANES, Paul Spyros","S000064",1933,NA,-0.435,-0.221,-41.33243,0.922,509,13,NA,-0.465,-0.018,"MD"
"44912",108,"Senate",14440,52,0,"MD",100,0,1,"MIKULSKI, Barbara Ann","M000702",1936,NA,-0.37,-0.128,-56.03094,0.897,513,23,NA,-0.36,-0.007,"MD"
"44913",108,"Senate",10808,3,0,"MA",100,0,1,"KENNEDY, Edward Moore (Ted)","K000105",1932,2009,-0.443,-0.49,-57.23876,0.891,495,20,NA,-0.442,-0.636,"MA"
"44914",108,"Senate",14920,3,0,"MA",100,0,1,"KERRY, John Forbes","K000148",1943,NA,-0.352,-0.382,-11.64062,0.929,159,3,NA,-0.41,-0.124,"MA"
"44915",108,"Senate",14709,23,0,"MI",100,0,1,"LEVIN, Carl","L000261",1934,NA,-0.395,-0.116,-63.17198,0.885,519,23,NA,-0.427,0.114,"MI"
"44916",108,"Senate",29732,23,0,"MI",100,0,1,"STABENOW, Deborah Ann","S000770",1950,NA,-0.342,-0.014,-62.19876,0.88706,519,23,NA,-0.363,-0.063,"MI"
"44917",108,"Senate",40101,33,0,"MN",100,0,1,"DAYTON, Mark","D000596",1947,NA,-0.421,0.209,-106.23276,0.811,508,44,NA,-0.358,0.354,"MN"
"44918",108,"Senate",40302,33,0,"MN",200,0,1,"COLEMAN, Norm","C001057",1949,NA,0.185,-0.125,-87.57447,0.844,516,32,NA,0.228,-0.094,"MN"
"44919",108,"Senate",14009,46,0,"MS",200,0,1,"COCHRAN, William Thad","C000567",1937,NA,0.287,0.051,-49.91458,0.90831,519,17,NA,0.367,0.184,"MS"
"44920",108,"Senate",14031,46,0,"MS",200,0,1,"LOTT, Chester Trent","L000447",1941,NA,0.39,0.194,-70.34235,0.87,504,33,NA,0.453,0.156,"MS"
"44921",108,"Senate",15501,34,0,"MO",200,0,1,"BOND, Christopher Samuel (Kit)","B000611",1939,NA,0.31,-0.169,-68.47599,0.875,515,26,NA,0.304,0.072,"MO"
"44922",108,"Senate",29369,34,0,"MO",200,0,1,"TALENT, James Matthes","T000024",1956,NA,0.364,0.098,-59.97142,0.89,517,21,NA,0.31,0.01,"MO"
"44923",108,"Senate",14203,64,0,"MT",100,0,1,"BAUCUS, Max Sieben","B000243",1941,NA,-0.212,0.017,-210.07461,0.662,509,100,NA,-0.136,0.134,"MT"
"44924",108,"Senate",15701,64,0,"MT",200,0,1,"BURNS, Conrad","B001126",1935,2016,0.361,0.222,-48.63289,0.909,512,21,NA,0.428,0.257,"MT"
"44925",108,"Senate",40103,35,0,"NE",100,0,1,"NELSON, Earl Benjamin (Ben)","N000180",1941,NA,-0.03,0.588,-142.66012,0.753,504,60,NA,-0.04,0.611,"NE"
"44926",108,"Senate",49704,35,0,"NE",200,0,1,"HAGEL, Charles Timothy (Chuck)","H001028",1946,NA,0.344,-0.498,-83.24589,0.848,504,32,NA,0.311,-0.312,"NE"
