"","congress","chamber","icpsr","state_icpsr","district_code","state_abbrev","party_code","occupancy","last_means","bioname","bioguide_id","born","died","nominate_dim1","nominate_dim2","nominate_log_likelihood","nominate_geo_mean_probability","nominate_number_of_votes","nominate_number_of_errors","conditional","nokken_poole_dim1","nokken_poole_dim2","STUSPS"
"45964",110,"Senate",49700,41,0,"AL",200,0,1,"SESSIONS, Jefferson Beauregard III (Jeff)","S001141",1946,NA,0.549,0.13,-131.66522,0.78363,540,65,NA,0.501,0.077,"AL"
"45965",110,"Senate",94659,41,0,"AL",200,0,1,"SHELBY, Richard C.","S000320",1934,NA,0.429,0.519,-139.67891,0.77464,547,59,NA,0.427,0.342,"AL"
"45966",110,"Senate",12109,81,0,"AK",200,0,1,"STEVENS, Theodore Fulton (Ted)","S000888",1923,2010,0.219,-0.5,-160.3039,0.738,528,65,NA,0.221,-0.218,"AK"
"45967",110,"Senate",40300,81,0,"AK",200,0,1,"MURKOWSKI, Lisa","M001153",1957,NA,0.211,-0.291,-152.17759,0.75481,541,62,NA,0.23,-0.363,"AK"
"45968",110,"Senate",15039,61,0,"AZ",200,0,1,"McCAIN, John Sidney, III","M000303",1936,2018,0.381,-0.626,-42.53879,0.80754,199,17,NA,0.442,-0.73,"AZ"
"45969",110,"Senate",15429,61,0,"AZ",200,0,1,"KYL, Jon Llewellyn","K000352",1942,NA,0.548,-0.413,-131.02793,0.7849,541,56,NA,0.583,-0.507,"AZ"
"45970",110,"Senate",29305,42,0,"AR",100,0,1,"LINCOLN, Blanche Lambert","L000035",1960,NA,-0.166,0.178,-94.73876,0.837,534,44,NA,-0.187,0.221,"AR"
"45971",110,"Senate",40301,42,0,"AR",100,0,1,"PRYOR, Mark","P000590",1963,NA,-0.199,0.463,-94.81818,0.841,549,40,NA,-0.174,0.465,"AR"
"45972",110,"Senate",15011,71,0,"CA",100,0,1,"BOXER, Barbara","B000711",1940,NA,-0.45,-0.423,-39.20646,0.927,517,14,NA,-0.486,-0.325,"CA"
"45973",110,"Senate",49300,71,0,"CA",100,0,1,"FEINSTEIN, Dianne","F000062",1933,NA,-0.267,-0.185,-73.88368,0.87124,536,32,NA,-0.254,-0.366,"CA"
