"","congress","chamber","icpsr","state_icpsr","district_code","state_abbrev","party_code","occupancy","last_means","bioname","bioguide_id","born","died","nominate_dim1","nominate_dim2","nominate_log_likelihood","nominate_geo_mean_probability","nominate_number_of_votes","nominate_number_of_errors","conditional","nokken_poole_dim1","nokken_poole_dim2","STUSPS"
"44330",107,"Senate",49700,41,0,"AL",200,0,1,"SESSIONS, Jefferson Beauregard III (Jeff)","S001141",1946,NA,0.549,0.13,-111.5149,0.7779,444,57,NA,0.476,0.309,"AL"
"44331",107,"Senate",94659,41,0,"AL",200,0,1,"SHELBY, Richard C.","S000320",1934,NA,0.429,0.519,-111.74212,0.77881,447,56,NA,0.362,0.527,"AL"
"44332",107,"Senate",12109,81,0,"AK",200,0,1,"STEVENS, Theodore Fulton (Ted)","S000888",1923,2010,0.219,-0.5,-118.99235,0.749,412,52,NA,0.276,-0.18,"AK"
"44333",107,"Senate",14907,81,0,"AK",200,0,1,"MURKOWSKI, Frank Hughes","M001085",1933,NA,0.346,-0.275,-81.34124,0.824,420,30,NA,0.383,0.038,"AK"
"44334",107,"Senate",15039,61,0,"AZ",200,0,1,"McCAIN, John Sidney, III","M000303",1936,2018,0.381,-0.626,-281.7081,0.52869,442,122,NA,0.214,-0.977,"AZ"
"44335",107,"Senate",15429,61,0,"AZ",200,0,1,"KYL, Jon Llewellyn","K000352",1942,NA,0.548,-0.413,-86.77939,0.82636,455,44,NA,0.651,-0.429,"AZ"
"44336",107,"Senate",29305,42,0,"AR",100,0,1,"LINCOLN, Blanche Lambert","L000035",1960,NA,-0.166,0.178,-130.52113,0.751,455,55,NA,-0.159,0.339,"AR"
"44337",107,"Senate",29306,42,0,"AR",200,0,1,"HUTCHINSON, Timothy","H001015",1949,NA,0.419,0.072,-124.3386,0.757,446,53,NA,0.329,0.123,"AR"
"44338",107,"Senate",15011,71,0,"CA",100,0,1,"BOXER, Barbara","B000711",1940,NA,-0.45,-0.423,-64.2756,0.865,442,24,NA,-0.484,-0.44,"CA"
"44339",107,"Senate",49300,71,0,"CA",100,0,1,"FEINSTEIN, Dianne","F000062",1933,NA,-0.267,-0.185,-120.45555,0.76606,452,58,NA,-0.231,-0.277,"CA"
"44340",107,"Senate",29108,62,0,"CO",200,0,1,"ALLARD, A. Wayne","A000109",1943,NA,0.572,-0.121,-85.71843,0.828,454,37,NA,0.526,-0.084,"CO"
"44341",107,"Senate",95407,62,0,"CO",200,0,1,"CAMPBELL, Ben Nighthorse","C000077",1933,NA,0.23,0.132,-114.10963,0.772,442,51,NA,0.304,0.33,"CO"
"44342",107,"Senate",14213,1,0,"CT",100,0,1,"DODD, Christopher John","D000388",1944,NA,-0.328,-0.317,-82.47034,0.831,445,32,NA,-0.372,-0.193,"CT"
"44343",107,"Senate",15704,1,0,"CT",100,0,1,"LIEBERMAN, Joseph I.","L000304",1942,NA,-0.205,-0.312,-116.32529,0.771,448,42,NA,-0.274,-0.222,"CT"
"44344",107,"Senate",14101,11,0,"DE",100,0,1,"BIDEN, Joseph Robinette, Jr.","B000444",1942,NA,-0.314,-0.042,-100.28553,0.8,449,43,NA,-0.289,-0.204,"DE"
"44345",107,"Senate",15015,11,0,"DE",100,0,1,"CARPER, Thomas Richard","C000174",1947,NA,-0.175,-0.223,-149.507,0.71942,454,63,NA,-0.176,-0.199,"DE"
"44346",107,"Senate",14651,43,0,"FL",100,0,1,"NELSON, Clarence William (Bill)","N000032",1942,NA,-0.193,0.337,-156.31367,0.70925,455,66,NA,-0.279,0.177,"FL"
"44347",107,"Senate",15503,43,0,"FL",100,0,1,"GRAHAM, Daniel Robert (Bob)","G000352",1936,NA,-0.231,-0.012,-131.31551,0.75,457,53,NA,-0.262,-0.096,"FL"
"44348",107,"Senate",49701,44,0,"GA",100,0,1,"CLELAND, Joseph Maxwell (Max)","C001034",1942,NA,-0.22,0.302,-145.51495,0.726,455,76,NA,-0.171,0.37,"GA"
"44349",107,"Senate",49904,44,0,"GA",100,0,1,"MILLER, Zell Bryan","M001141",1932,NA,0.146,0.105,-159.62018,0.693,436,87,NA,0.063,0.213,"GA"
"44350",107,"Senate",4812,82,0,"HI",100,0,1,"INOUYE, Daniel Ken","I000025",1924,2012,-0.319,0.062,-79.23401,0.831,428,34,NA,-0.368,0.295,"HI"
"44351",107,"Senate",14400,82,0,"HI",100,0,1,"AKAKA, Daniel Kahikina","A000069",1924,NA,-0.419,0.273,-64.31883,0.86,428,26,NA,-0.402,0.341,"HI"
"44352",107,"Senate",14809,63,0,"ID",200,0,1,"CRAIG, Larry Edwin","C000858",1945,NA,0.494,-0.014,-69.42352,0.858,452,38,NA,0.483,0.294,"ID"
"44353",107,"Senate",29345,63,0,"ID",200,0,1,"CRAPO, Michael Dean","C000880",1951,NA,0.511,0.294,-84.8604,0.82387,438,41,NA,0.379,0.105,"ID"
"44354",107,"Senate",15021,21,0,"IL",100,0,1,"DURBIN, Richard Joseph","D000563",1944,NA,-0.348,-0.307,-84.55086,0.83042,455,30,NA,-0.401,-0.316,"IL"
"44355",107,"Senate",49900,21,0,"IL",200,0,1,"FITZGERALD, Peter G.","F000442",1960,NA,0.28,-0.825,-162.12208,0.689,435,79,NA,0.244,-0.786,"IL"
"44356",107,"Senate",14506,22,0,"IN",200,0,1,"LUGAR, Richard Green","L000504",1932,NA,0.304,-0.466,-108.67767,0.788,457,43,NA,0.348,-0.513,"IN"
"44357",107,"Senate",49901,22,0,"IN",100,0,1,"BAYH, Evan","B001233",1955,NA,-0.158,-0.142,-169.26993,0.69,456,67,NA,-0.191,-0.141,"IN"
"44358",107,"Senate",14226,31,0,"IA",200,0,1,"GRASSLEY, Charles Ernest","G000386",1933,NA,0.346,-0.065,-110.16953,0.78579,457,51,NA,0.367,-0.153,"IA"
"44359",107,"Senate",14230,31,0,"IA",100,0,1,"HARKIN, Thomas Richard (Tom)","H000206",1939,NA,-0.351,-0.546,-88.06097,0.822,449,34,NA,-0.367,-0.262,"IA"
"44360",107,"Senate",14852,32,0,"KS",200,0,1,"ROBERTS, Charles Patrick (Pat)","R000307",1936,NA,0.413,-0.09,-77.29994,0.84249,451,32,NA,0.424,0.141,"KS"
"44361",107,"Senate",29523,32,0,"KS",200,0,1,"BROWNBACK, Sam Dale","B000953",1956,NA,0.439,-0.306,-104.53559,0.792,449,42,NA,0.425,-0.376,"KS"
"44362",107,"Senate",14921,51,0,"KY",200,0,1,"McCONNELL, Addison Mitchell (Mitch)","M000355",1942,NA,0.402,0.003,-60.31397,0.87636,457,21,NA,0.429,0.036,"KY"
"44363",107,"Senate",15406,51,0,"KY",200,0,1,"BUNNING, James Paul David","B001066",1931,NA,0.521,-0.049,-68.79484,0.858,450,28,NA,0.521,-0.061,"KY"
