"","congress","chamber","icpsr","state_icpsr","district_code","state_abbrev","party_code","occupancy","last_means","bioname","bioguide_id","born","died","nominate_dim1","nominate_dim2","nominate_log_likelihood","nominate_geo_mean_probability","nominate_number_of_votes","nominate_number_of_errors","conditional","nokken_poole_dim1","nokken_poole_dim2","STUSPS"
"48204",114,"Senate",41301,3,0,"MA",100,0,1,"WARREN, Elizabeth","W000817",1949,NA,-0.77,-0.286,-39.26542,0.91075,420,14,NA,-0.702,-0.461,"MA"
"48205",114,"Senate",20923,23,0,"MI",100,0,1,"PETERS, Gary C.","P000595",1958,NA,-0.245,-0.187,-47.76093,0.89129,415,17,NA,-0.319,-0.088,"MI"
"48206",114,"Senate",29732,23,0,"MI",100,0,1,"STABENOW, Deborah Ann","S000770",1950,NA,-0.342,-0.014,-47.57042,0.8917,415,22,NA,-0.309,-0.098,"MI"
"48207",114,"Senate",40700,33,0,"MN",100,0,1,"KLOBUCHAR, Amy","K000367",1960,NA,-0.281,-0.384,-62.12286,0.86066,414,27,NA,-0.258,-0.026,"MN"
"48208",114,"Senate",40904,33,0,"MN",100,0,1,"FRANKEN, Al","F000457",1951,NA,-0.399,-0.169,-43.07774,0.89957,407,22,NA,-0.497,-0.036,"MN"
"48209",114,"Senate",14009,46,0,"MS",200,0,1,"COCHRAN, William Thad","C000567",1937,NA,0.287,0.051,-73.8516,0.83734,416,24,NA,0.329,0.102,"MS"
"48210",114,"Senate",29534,46,0,"MS",200,0,1,"WICKER, Roger F.","W000437",1951,NA,0.376,0.349,-61.61228,0.86203,415,21,NA,0.406,0.184,"MS"
"48211",114,"Senate",29735,34,0,"MO",200,0,1,"BLUNT, Roy","B000575",1950,NA,0.426,0.275,-83.58947,0.81475,408,35,NA,0.364,0.701,"MO"
"48212",114,"Senate",40701,34,0,"MO",100,0,1,"McCASKILL, Claire","M001170",1953,NA,-0.143,0.023,-93.99411,0.79242,404,35,NA,-0.127,-0.113,"MO"
"48213",114,"Senate",21338,64,0,"MT",200,0,1,"DAINES, Steve","D000618",1962,NA,0.553,-0.131,-103.09643,0.78234,420,44,NA,0.567,0.016,"MT"
"48214",114,"Senate",40702,64,0,"MT",100,0,1,"TESTER, Jon","T000464",1956,NA,-0.217,0.138,-105.37084,0.77811,420,42,NA,-0.197,0.067,"MT"
"48215",114,"Senate",41302,35,0,"NE",200,0,1,"FISCHER, Debra (Deb)","F000463",1951,NA,0.471,0.343,-64.70289,0.85723,420,23,NA,0.489,0.265,"NE"
"48216",114,"Senate",41503,35,0,"NE",200,0,1,"SASSE, Benjamin Eric","S001197",1972,NA,0.795,-0.218,-95.82756,0.79513,418,48,NA,0.827,-0.38,"NE"
"48217",114,"Senate",15054,65,0,"NV",100,0,1,"REID, Harry","R000146",1939,NA,-0.276,0.258,-68.81173,0.828,364,35,NA,-0.502,-0.121,"NV"
"48218",114,"Senate",20730,65,0,"NV",200,0,1,"HELLER, Dean","H001041",1960,NA,0.463,-0.459,-176.93934,0.64812,408,83,NA,0.546,-0.731,"NV"
"48219",114,"Senate",40906,4,0,"NH",100,0,1,"SHAHEEN, Jeanne","S001181",1947,NA,-0.239,-0.136,-49.82682,0.88813,420,17,NA,-0.266,-0.254,"NH"
"48220",114,"Senate",41106,4,0,"NH",200,0,1,"AYOTTE, Kelly","A000368",1968,NA,0.351,-0.612,-126.06028,0.739,416,57,NA,0.276,-0.512,"NH"
"48221",114,"Senate",29373,12,0,"NJ",100,0,1,"MENENDEZ, Robert","M000639",1954,NA,-0.366,-0.126,-73.54961,0.83759,415,30,NA,-0.36,-0.346,"NJ"
"48222",114,"Senate",41308,12,0,"NJ",100,0,1,"BOOKER, Cory Anthony","B001288",1969,NA,-0.599,-0.241,-40.39355,0.90747,416,17,NA,-0.516,-0.43,"NJ"
"48223",114,"Senate",20930,66,0,"NM",100,0,1,"HEINRICH, Martin","H001046",1971,NA,-0.326,-0.025,-47.99121,0.89153,418,21,NA,-0.321,-0.087,"NM"
"48224",114,"Senate",29924,66,0,"NM",100,0,1,"UDALL, Thomas (Tom)","U000039",1948,NA,-0.453,0.163,-48.423,0.89061,418,22,NA,-0.395,-0.099,"NM"
"48225",114,"Senate",14858,13,0,"NY",100,0,1,"SCHUMER, Charles Ellis (Chuck)","S000148",1950,NA,-0.359,-0.406,-43.66294,0.90104,419,14,NA,-0.369,-0.489,"NY"
"48226",114,"Senate",20735,13,0,"NY",100,0,1,"GILLIBRAND, Kirsten","G000555",1966,NA,-0.475,-0.439,-46.35071,0.89528,419,18,NA,-0.544,-0.291,"NY"
"48227",114,"Senate",29548,47,0,"NC",200,0,1,"BURR, Richard M.","B001135",1955,NA,0.45,-0.054,-92.03307,0.80195,417,41,NA,0.381,0.067,"NC"
"48228",114,"Senate",41504,47,0,"NC",200,0,1,"TILLIS, Thomas Roland (Thom)","T000476",1960,NA,0.426,0.06,-77.36779,0.83103,418,35,NA,0.443,-0.064,"NC"
"48229",114,"Senate",41107,36,0,"ND",200,0,1,"HOEVEN, John","H001061",1957,NA,0.343,0.328,-65.92292,0.85377,417,28,NA,0.375,0.297,"ND"
"48230",114,"Senate",41303,36,0,"ND",100,0,1,"HEITKAMP, Mary Kathryn (Heidi)","H001069",1955,NA,-0.122,0.399,-109.15039,0.77066,419,42,NA,-0.119,0.448,"ND"
"48231",114,"Senate",29386,24,0,"OH",200,0,1,"PORTMAN, Robert Jones (Rob)","P000449",1955,NA,0.373,-0.237,-137.31071,0.71887,416,64,NA,0.325,-0.163,"OH"
"48232",114,"Senate",29389,24,0,"OH",100,0,1,"BROWN, Sherrod","B000944",1952,NA,-0.43,-0.115,-40.8684,0.90491,409,19,NA,-0.589,-0.07,"OH"
"48233",114,"Senate",15424,53,0,"OK",200,0,1,"INHOFE, James Mountain","I000024",1934,NA,0.555,0.045,-61.47817,0.86075,410,27,NA,0.521,0.253,"OK"
"48234",114,"Senate",21166,53,0,"OK",200,0,1,"LANKFORD, James","L000575",1968,NA,0.59,0.173,-107.65078,0.77343,419,48,NA,0.624,-0.036,"OK"
"48235",114,"Senate",14871,72,0,"OR",100,0,1,"WYDEN, Ronald Lee","W000779",1949,NA,-0.329,-0.471,-68.56277,0.84771,415,33,NA,-0.39,-0.878,"OR"
"48236",114,"Senate",40908,72,0,"OR",100,0,1,"MERKLEY, Jeff","M001176",1956,NA,-0.443,-0.738,-44.8601,0.89777,416,20,NA,-0.607,-0.729,"OR"
"48237",114,"Senate",29935,14,0,"PA",200,0,1,"TOOMEY, Patrick Joseph","T000461",1961,NA,0.646,-0.286,-83.71559,0.81116,400,33,NA,0.596,-0.311,"PA"
"48238",114,"Senate",40703,14,0,"PA",100,0,1,"CASEY, Robert (Bob), Jr.","C001070",1960,NA,-0.312,0.197,-80.92344,0.82284,415,31,NA,-0.295,0.3,"PA"
"48239",114,"Senate",29142,5,0,"RI",100,0,1,"REED, John F. (Jack)","R000122",1949,NA,-0.369,-0.172,-39.82484,0.90954,420,12,NA,-0.437,-0.129,"RI"
"48240",114,"Senate",40704,5,0,"RI",100,0,1,"WHITEHOUSE, Sheldon","W000802",1955,NA,-0.358,-0.105,-46.17383,0.89565,419,21,NA,-0.42,0.023,"RI"
"48241",114,"Senate",21173,48,0,"SC",200,0,1,"SCOTT, Tim","S001184",1965,NA,0.638,-0.008,-76.0674,0.83104,411,34,NA,0.634,0.028,"SC"
"48242",114,"Senate",29566,48,0,"SC",200,0,1,"GRAHAM, Lindsey O.","G000359",1955,NA,0.405,-0.17,-84.82027,0.76779,321,40,NA,0.321,-0.208,"SC"
"48243",114,"Senate",29754,37,0,"SD",200,0,1,"THUNE, John","T000250",1961,NA,0.411,0.138,-69.66618,0.84682,419,37,NA,0.429,0.079,"SD"
"48244",114,"Senate",41505,37,0,"SD",200,0,1,"ROUNDS, Marion Michael (Mike)","R000605",1954,NA,0.408,0.121,-69.71818,0.8457,416,28,NA,0.386,0.004,"SD"
"48245",114,"Senate",40304,54,0,"TN",200,0,1,"ALEXANDER, Lamar","A000360",1940,NA,0.323,-0.178,-104.9583,0.77511,412,40,NA,0.307,-0.185,"TN"
"48246",114,"Senate",40705,54,0,"TN",200,0,1,"CORKER, Robert (Bob)","C001071",1952,NA,0.395,-0.344,-121.13923,0.74419,410,50,NA,0.513,-0.483,"TN"
"48247",114,"Senate",40305,49,0,"TX",200,0,1,"CORNYN, John","C001056",1952,NA,0.492,-0.011,-69.81715,0.84447,413,30,NA,0.463,-0.073,"TX"
"48248",114,"Senate",41304,49,0,"TX",200,0,1,"CRUZ, Rafael Edward (Ted)","C001098",1970,NA,0.819,-0.266,-111.67918,0.69256,304,49,NA,0.876,-0.483,"TX"
"48249",114,"Senate",14503,67,0,"UT",200,0,1,"HATCH, Orrin Grant","H000338",1934,NA,0.382,-0.004,-77.95758,0.82911,416,28,NA,0.381,-0.041,"UT"
"48250",114,"Senate",41110,67,0,"UT",200,0,1,"LEE, Mike","L000577",1971,NA,0.916,-0.4,-147.95155,0.68296,388,71,NA,0.919,-0.395,"UT"
"48251",114,"Senate",14307,6,0,"VT",100,0,1,"LEAHY, Patrick Joseph","L000174",1940,NA,-0.361,-0.123,-47.7225,0.89112,414,23,NA,-0.525,-0.142,"VT"
"48252",114,"Senate",29147,6,0,"VT",328,0,1,"SANDERS, Bernard","S000033",1941,NA,-0.527,-0.379,-68.53664,0.80447,315,29,NA,-0.861,-0.508,"VT"
"48253",114,"Senate",40909,40,0,"VA",100,0,1,"WARNER, Mark","W000805",1954,NA,-0.201,-0.029,-75.46075,0.82243,386,40,NA,-0.17,-0.125,"VA"
"48254",114,"Senate",41305,40,0,"VA",100,0,1,"KAINE, Timothy Michael (Tim)","K000384",1958,NA,-0.241,-0.061,-71.27874,0.84042,410,36,NA,-0.208,-0.214,"VA"
"48255",114,"Senate",39310,73,0,"WA",100,0,1,"CANTWELL, Maria E.","C000127",1958,NA,-0.304,-0.427,-45.35416,0.89764,420,23,NA,-0.287,-0.61,"WA"
"48256",114,"Senate",49308,73,0,"WA",100,0,1,"MURRAY, Patty","M001111",1950,NA,-0.352,-0.313,-47.65673,0.89127,414,27,NA,-0.295,-0.552,"WA"
"48257",114,"Senate",20146,56,0,"WV",200,0,1,"CAPITO, Shelley Moore","C001047",1953,NA,0.263,0.059,-86.38086,0.8133,418,33,NA,0.308,0.126,"WV"
"48258",114,"Senate",40915,56,0,"WV",100,0,1,"MANCHIN, Joe, III","M001183",1947,NA,-0.055,0.442,-163.82419,0.67256,413,68,NA,-0.085,0.634,"WV"
"48259",114,"Senate",29940,25,0,"WI",100,0,1,"BALDWIN, Tammy","B001230",1962,NA,-0.493,-0.14,-47.1317,0.89385,420,25,NA,-0.461,-0.032,"WI"
"48260",114,"Senate",41111,25,0,"WI",200,0,1,"JOHNSON, Ron","J000293",1955,NA,0.606,-0.271,-81.38601,0.82035,411,33,NA,0.487,-0.256,"WI"
"48261",114,"Senate",40707,68,0,"WY",200,0,1,"BARRASSO, John A.","B001261",1952,NA,0.541,0.246,-76.85978,0.8324,419,28,NA,0.477,0.198,"WY"
"48262",114,"Senate",49706,68,0,"WY",200,0,1,"ENZI, Michael B.","E000285",1944,NA,0.545,0.198,-88.72041,0.8024,403,36,NA,0.5,0.117,"WY"
